"Present name of the feature";"Value type";"Former name of the feature (indication)";"Other names of feature (indic.)";"Classes where feature is encoded (indic.)";"Description of the feature";"Example(s) illustrating the feature";"Description de la propriété"
"N0 V Prép N1 Prép N2";"binary";"N0 V Prép N1 Prép N2";;", 18";"Sentence with two objects Prép N1 and Prép N2, possibly by erasement of other objects; the preposition introducing N1 can be empty";"Ce bâton sert à Paul de matraque (E+pour se défendre)";"Phrase avec deux objets Prép N1 et Prép N2, éventuellement par effacement d'autres objets ; la préposition introduisant N1 peut être vide"
"N0 V Prép N1 Prép N2 Prép N3";"binary";" ";;" ";"Sentence with three objects Prép N1, Prép N2 and Prép N3; the prepositions can be empty";"Paul désigne Luc à Marie pour faire la corvée";"Phrase avec trois objets Prép N1, Prép N2 et Prép N3 ; les prépositions peuvent être vides"
"N0 V Prép N1 Prép N3";"binary";"N0 V Prép N1 Prép N3";;", 18";"Sentence with two objects Prép N1 and Prép N3, by erasement of other objects; the prepositions can be empty";"Paul désigne Luc (E+à Marie) pour faire la corvée";"Phrase avec deux objets Prép N1 et Prép N3, par effacement d'autres objets ; les prépositions peuvent être vides"
"N0 V Prép N1-hum";"binary";"N0 U Prép N-hum";;", 1";"Sentence with the same subject, the verb V, and a nominal object Prép N1 with a non-human meaning";"Paul commence par faire le tri des vis = Paul commence par le tri des vis ; Paul commence par faire le tri des vis = Paul commence par les vis";"Phrase avec le même sujet, le verbe V et un objet nominal Prép N1 à sens non humain"
"N0 V Prép N1hum";"binary";"N0 U Prép Nhum";;", 1";"Sentence with the same subject, the verb V, and a nominal object Prép N1 denoting a person";"Luc commence par répondre à Marie = Luc commence par Marie ; Luc passe pour être un as = Luc passe pour un as";"Phrase avec le même sujet, le verbe V et un objet nominal Prép N1 dénotant une personne"
"N0 V Prép N2";"binary";"N0 V Prép N2";;", 10, 13, 14, 15, 16, 18, 32A, 38R";"Sentence with an object Prép N2, by erasement of other objects";"Ce traitement immunise (E+les enfants) contre la grippe";"Phrase avec un objet Prép N2, par effacement d'autres objets"
"N0 V Prép N2 Prép N3";"binary";"N0 V Prép N2 Prép N3";;", 18";"Sentence with two objects Prép N2 and Prép N3, by erasement of other objects; the preposition introducing N3 can be empty";"Paul pose (E+à Luc) comme condition que Léa parte";"Phrase avec deux objets Prép N2 et Prép N3, par effacement d'autres objets ; la préposition introduisant N3 peut être vide"
"N0 V Prép N3";"binary";"N0 V Prép N3";;", 18";"Sentence with an object Prép N3, by erasement of other objects";"Ce parapluie sert (E+à Marie) (E+d'arme) pour se défendre";"Phrase avec un objet Prép N3, par effacement d'autres objets"
"N0 V Prép V0-inf W";"binary";" ";;" ";"Insertion of the verb V into a sentence N0 V W, producing a sentence with the same subject, the verb V, and an infinitive clause taking the form Prép V0-inf W, with an implicit subject coreferent with N0; the preposition can be empty";"Paul prend une douche = Paul commence par prendre une douche ; Paul prend un bain = Paul ose prendre un bain";"Insertion du verbe V dans une phrase N0 V W, produisant une phrase avec le même sujet, le verbe V et une infinitive de la forme Prép V0-inf W, avec un sujet implicite coréférent avec N0; la préposition peut être vide"
"N0 V V0-inf W";"binary";" ";;", 2T";"Sentence with a non-prepositional infinitive clause which has an implicit subject coreferent with that of the main verb ; possibly by erasement of other objects";"Paul file acheter du pain ;  Paul traverse la rue acheter du pain = Paul traverse acheter du pain";"Phrase avec une infinitive directe à sujet implicite coréférent au sujet du verbe principal ; éventuellement par effacement d'autres objets"
"N0 V vers N";"binary";"N0 V vers N";;", 31H";"Additional complement of the form vers N, interpreted as a direction to a destination; the sentence has no directional meaning without this complement";"Paul titube vers la sortie/ Paul titube (cf. L'avion pique vers le sol/L'avion pique)";"Complément supplémentaire de la forme vers N, interprété comme la direction vers une destination ; la phrase n'a pas de sens directionnel sans ce complément"
"N0abs V  N1hum";"binary";"Nabst V Nhum";;", 38L0";"Sentence with a subject denoting an abstract entity and an object N1 denoting a person; the sentence has a metaphorical meaning";"Les soucis bouffent Léa";"Phrase avec un sujet dénotant une entité abstraite et un objet N1 dénotant une personne ; la phrase a un sens métaphorique"
"N0hum V Loc Nabs";"binary";"N0hum V Loc  Nq";;", 31H";"Sentence with a subject denoting a person and a locative complement denoting an abstract entity; the sentence has a metaphorical meaning";"Paul voyage dans des rêves impossibles";"Phrase avec un sujet dénotant une personne et un complément locatif dénotant une entité abstraite ; la phrase a un sens métaphorique"
"N0hum V W sur ce point";"binary";"Nhum V sur ce point";;", 31H, 33, 35R, 35S";"Sentence with a subject denoting a person, and an additional complement of the form sur ce point";"Paul à menti à Léa sur ce point ; Paul s'emporte contre Luc sur cette question";"Phrase avec un sujet dénotant une personne et un complément supplémentaire de la forme sur ce point"
"N0idée V Loc N1esprit";"binary";"cette idée V Loc son esprit";;", 33, 31H";"Sentence with a subject denoting an idea and a locative complement denoting a person's mind; the sentence has a metaphorical meaning";"L'idée d'essayer frétillait dans son esprit";"Phrase avec un sujet dénotant une idée et un complément locatif dénotant l'esprit d'une personne ; la phrase a un sens métaphorique"
"N0pc lui V W";"binary";"N0pc lui V";;", 31H, 35L, 35R, 35ST";"Pronominalization of a noun which denotes a person and is a post-modifier of a subject denoting a body part; the pronoun is a dative clitic";"Les yeux lui clignent ; La tête lui a percuté contre le dossier";"Pronominalisation d'un nom dénotant une personne et complément de nom du sujet dénotant une partie du corps ; le pronom est un pronom préverbal datif "
"N1 = (N) (Adj)";"binary";"(N1)(Adj)";;", 6, 9";"A type of subject raising: a sentential complement N1 in the indicative mood taking the form que N être Adj W can be replaced with a constituent N followed by an objective complement Adj W";"J'imagine que Marie est enceinte = J'imagine Marie enceinte";"Type de montée du sujet : une complétive à l'indicatif notée N1 et de la forme que N être Adj W peut être remplacée par un constituant N suivi d'un constituant attribut Adj W"
"N1 = (N) (être Adj)";"binary";"(N1)(être Adj)";;", 6, 9";"A type of subject raising: a sentential complement N1 in the indicative mood taking the form que N être Adj W can be replaced with a constituent N followed by an infinitive clause être Adj W";"J'imagine que Marie est ironique = J'imagine Marie être ironique";"Type de montée du sujet : une complétive à l'indicatif notée N1 et de la forme que N être Adj W peut être remplacée par un constituant N suivi d'une infinitive être Adj W"
"N1 = (N) (V-ant W)";"binary";"(N1)(V1-ant W)";;", 6";"A type of subject raising: a sentential complement N1 in the indicative mood taking the form que N V W can be replaced with a constituent N followed by a participial clause V-ant W";"J'ai repéré que Paul travaille = J'ai repéré Paul travaillant";"Type de montée du sujet : une complétive à l'indicatif notée N1 et de la forme que N V W peut être remplacée par un constituant N suivi d'un constituant V-ant W"
"N1 = (N) (V-inf W)";"binary";"(N1)(V1-inf W)";;", 6";"A type of subject raising: a sentential complement N1 in the indicative mood taking the form que N V W can be replaced with a constituent N followed by an infinitive clause V-inf W";"Je vois que Paul travaille = Je vois Paul travailler";"Type de montée du sujet : une complétive à l'indicatif notée N1 et de la forme que N V W peut être remplacée par un constituant N suivi d'une infinitive V-inf W"
"N1 = où";;;;;"An object N1 answers a question in où ? ";"Où le livre est-il paru ? - Il est paru chez Plon ; D'où l'eau filtre-t-elle ? - Elle filtre du plafond";"L'objet N1 répond à la question en où ? "
"N1 = Ppv";"binary";"N1 =: Ppv";;", 12";"A nominal object N1 can pronominalize into a clitic";"Paul aime Marie = Paul l'aime";"L'objet nominal N1 peut être pronominalisé sous la forme d'un pronom préverbal"
"N1 =: Qu P = Aux V0-inf W";"binary";"N1 =: Aux V0-inf W";"Qu P = Aux V0-inf W";", 6, 9, 10, 12";"A direct sentential complement in the indicative mood noted N1, when its subject is coreferent to the main subject and it contains an auxiliary or some verbs (M. Gross 1975:76), can be replaced by a non-prepositional infinitive clause with an implicit subject coreferent to the main subject";"Paul dit qu'il a dormi = Paul dit avoir dormi ; Paul dit qu'il ignore l'anglais = Paul dit ignorer l'anglais (cf. Paul dit qu'il se promène, *Paul dit se promener) ; Paul inscrit dans l'agenda qu'il a fait ça = Paul inscrit dans l'agenda avoir fait ça";"La complétive objet direct à l'indicatif notée N1, lorsque son sujet est coréférent au sujet de la principale et qu'elle contient un auxiliaire ou certains verbes (M. Gross 1975:76), peut être remplacée par une infinitive non prépositionnelle dont le sujet implicite est coréférent au sujet de la principale"
"N1 =: ce(ci+la)";"binary";"N1 =: ce(ci+la)";;", 6, 7, 8, 9, 10, 12, 14, 15, 16";"A sentential complement N1 can pronominalize in the form of ceci or cela";"Cet échec équivaut pour Max à ce qu'il doive changer d'objectif = Cet échec équivaut pour Max à (ceci+cela)";"Une complétive objet N1 peut être pronominalisée sous la forme de ceci ou cela"
"N1 =: combien P";"binary";" ";;" ";"An object N1 can take the form of an exclamative clause";"Max contemple combien tout est beau";"Un objet N1 peut prendre la forme d'une complétive exclamative"
"N1 =: coup";"binary";"N1 =: coup";;", 32A, 32PL, 36DT, 38L, 38L0, 38LD, 38LR";"An object N1 can denote a blow";"Max allonge une claque à Léa ; Paul reçoit un coup de pied de Jean";"L'objet N1 peut dénoter un coup "
"N1 =: de V0-inf W";"binary";"N1 =: de V0-inf W";;", 10, 16";"A direct object N1 can take the form of an infinitive clause introduced by the preposition de, with an implicit subject coreferent to the main subject";"Paul subordonne de faire ça au résultat des élections";"L'objet direct N1 peut prendre la forme d'une infinitive introduite par la préposition de, dont le sujet implicite est coréférent au sujet du verbe principal"
"N1 =: de V2c-inf W";"binary";"N1 =: de V2c-inf W";;", 10";"A direct object N1 can take the form of an infinitive clause introduced by the preposition de, with an implicit subject coreferent to a nominal post-modifier of a nominal object N2";"Paul incorpore dans les instructions de Luc de faire la vaisselle";"L'objet direct N1 peut prendre la forme d'une infinitive introduite par la préposition de, dont le sujet implicite est coréférent à un complément de nom de l'objet N2"
"N1 =: de V2-inf W";"binary";"N1 =: de V2-inf W";;", 10";"A direct object N1 can take the form of an infinitive clause introduced by the preposition de, with an implicit subject coreferent to an object N2";"Ceci justifie pour Paul de démissionner";"L'objet direct N1 peut prendre la forme d'une infinitive introduite par la préposition de, dont le sujet implicite est coréférent à l'objet N2"
"N1 =: Dnum Nmes";"binary";"N1 =: Dnum Nmes";;", 32NM";"An object N1 can take the form of a cardinal numeral and a noun of measurement unit";"Ce vin titre 13 degrés";"L'objet N1 peut prendre la forme d'un déterminant numéral et d'un nom d'unité de mesure"
"N1 =: Dnum Nmonnaie";"binary";"N1 =: Dnum N";;", 36DT";"An object N1 can take the form of a cardinal numeral and a noun of measurement unit, denote a sum of money and answer a question in combien ?";"Paul a avancé 100 francs à Jean ; Combien Paul a-t-il avancé à Jean ?";"L'objet N1 peut prendre la forme d'un déterminant numéral et d'un nom d'unité de mesure, dénoter une somme d'argent et répondre à la question combien ?"
"N1 =: esprit, N2 =: idée";"binary";"N1 =: esprit, N2 =: idée";;", 37E, 37M1, 37M2, 37M3, 37M4, 37M5, 37M6, 38L0";"An object N1 can denote a person's mind and an object N2 an idea; the sentence has a metaphorical meaning";"Paul embarrasse son esprit d'idées saugrenues ; Luc débarrasse sa tête de ces projets idiots";"L'objet N1 peut dénoter l'esprit d'une personne et l'objet N2 une idée ; la phrase a un sens métaphorique"
"N1 =: idée, (N2+N3) =: esprit";"binary";"N1 =: idée, N2 =: esprit";;", 32PL, 35L, 38LH, 38LS";"An object N1 can denote an idea, and an object noted N2 or N3, a person's mind; the sentence has a metaphorical meaning with regard to the locative meaning";"Léa a évacué ces idées de l'esprit de Luc";"L'objet N1 peut dénoter une idée, et l'objet noté N2 ou N3, l'esprit d'une personne ; la phrase a un sens métaphorique par rapport au sens locatif"
"N1 =: idée, N2 =: esprit";"binary";"N1 =: idée, N2 =: esprit";;", 32A, 36SL, 38LD, 38LR";"An object N1 can denote an idea and an object N2 a person's mind; the sentence has a metaphorical meaning";"Paul a fourré de drôles d'idées dans la tête de Luc";"L'objet N1 peut dénoter une idée et l'objet N2 l'esprit d'une personne ; la phrase a un sens métaphorique"
"N1 =: le fait Qu P";"binary";"N1 =: le fait Qu P";;", 4, 5, 6, 7, 8, 9, 10, 12, 14, 15, 16, 32A, 32CL, 32CV, 32NM, 32R2, 32R3, 32RA, 33, 34L0, 35L, 35R, 35S, 35ST, 36R, 36S, 37E, 38PL, 38R, 39";"An object N1 can take the form of le fait que P, close to a sentential complement, and denote an abstract entity";"Max a décortiqué le fait que Paul ne soit pas venu";"L'objet N1 peut prendre la forme le fait que P, proche d'une complétive, et dénoter une entité abstraite"
"N1 =: mot, (N2+N3) =: texte";"binary";"N1 =: mot, N2 =: texte";;", 32PL, 38LH, 38LS";"An object N1 can denote words, and an object noted N2 or N3, a text; the sentence has a metaphorical meaning with regard to the locative meaning";"Paul bannit les grossièretés de ses articles ; Paul a centralisé les informations dans son article";"L'objet N1 peut dénoter des mots, et l'objet noté N2 ou N3, un texte ; la phrase a un sens métaphorique par rapport au sens locatif"
"N1 =: mot, N2 =: texte";"binary";"N1 =: mot, N2 =: texte";;", 36SL, 38LD, 38LR";"An object N1 can denote words and an object N2 a text; the sentence has a metaphorical meaning";"Paul a introduit des citations bizarres dans son article ; Paul saupoudre des plaisanteries dans ses discours";"L'objet N1 peut dénoter des mots et l'objet N2 un texte ; la phrase a un sens métaphorique"
"N1 =: Nabs";"binary";"N1 =: Nabs";"N1 =: Nabst";", 36DT";"An object N1 can denote an abstract entity";"Paul dispense des conseils ; Paul attribue de l'importance à ce que dit Léa";"L'objet N1 peut dénoter une entité abstraite"
"N1 =: Nabs métaphore";"binary";"N1 =: Nabs";"N1 =: Nabst";", 32C, 32H";"An object N1 can denote an abstract entity ; the sentence has a metaphorical meaning (N1 normally denotes obligatorily a person or concrete object)";"Ces contraintes asphyxient mon enthousiasme ; Paul a abîmé son amour-propre";"L'objet N1 peut dénoter une entité abstraite ; la phrase a un sens métaphorique (N1 dénote normalement obligatoirement une personne ou un objet concret)"
"N1 =: Nconc";"binary";"N1 =: Nconc";;", 32R1";"An object N1 can denote a concrete object";"Le radar suit la fusée";"L'objet N1 peut dénoter un objet concret"
"N1 =: Nconc métaphore";"binary";"N1 =: Nconc";;", 32H, 38LH, 38LHD, 38LHS, 38LHR";"An object N1 can denote  a concrete object ; the sentence has a metaphorical meaning (N1 normally denotes obligatorily a person)";"Paul rapatrie ses capitaux en France";"L'objet N1 peut dénoter un objet concret ; la phrase a un sens métaphorique (N1 dénote normalement obligatoirement une personne)"
"N1 =: Nhum";"binary";"N1 =: Nhum";;", 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 32A, 32C, 32CL, 32CV, 32NM, 32PL, 32R2, 32R3, 32RA, 33, 35R, 35S, 36DT, 36R, 36S, 36SL, 37E, 37M1, 37M2, 37M3, 37M4, 37M5, 37M6, 8PL, 38R, 38RR, 39";"An object N1 can denote a person";"Cette robe va très bien à Marie ; On a vacciné Paul contre le tétanos ; Léa confie son fils à des voisins ; Ida rassasie son chat de poisson";"L'objet N1 peut dénoter une personne "
"N1 =: N-hum";"binary";"N1 =: N-hum";;", 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 32A, 32CL, 32CV, 32NM, 32PL, 32R2, 32R3, 32RA, 33, 34L0, 35R, 35S, 36DT, 36R, 36S, 36SL, 37E , 37M1, 37M2, 37M3, 37M4, 37M5, 37M6 38PL, 38R, 38RR, 39";"An object N1 can denote an entity which is not a person";"Luc court après l'argent ; Max ampute sa thèse de deux chapitres";"L'objet N1 peut dénoter une entité qui n'est pas une personne "
"N1 =: Npc";"binary";"N1 =: Npc";;", 32C, 36S";"An object N1 can denote a body part";"Paul joint le pouce avec l'index";"L'objet N1 peut dénoter une partie du corps"
"N1 =: Npc obl";"binary";"N1 =: Npc obl";;", 37M1, 37M2, 37M3, 37M4, 37M5, 37M6";"An object N1 denotes obligatorily a body part, or, metonymically, a person";"Le soleil a basané la peau de Max = Le soleil a basané Max";"L'objet N1 dénote obligatoirement une partie du corps, ou, par métonymie, une personne"
"N1 =: Npl obl";"binary";"N1 =: Npl obl";;", 33, 35R, 36R, 38PL";"An object N1 is obligatorily in the plural or has a collective interpretation";"La bouteille a éclaté en mille morceaux";"L'objet N1 est obligatoirement au pluriel ou a une interprétation collective"
"N1 =: Qu P métaphore";"binary";"N1 =: Qu P";;", 38L0, 38LD, 38LH, 38LR, 38LS";"An object N1 can take the form of a sentential complement, in a sentence with a metaphorical meaning";"On exhume de manuscrits grecs que la Terre est ronde";"L'objet N1 peut prendre la forme d'une complétive, dans une phrase à sens métaphorique"
"N1 =: Qu P = Ppv";"binary";"N1 =: Qu P = Ppv > N0 Ppv V W ?";;", 6, 9, 10, 12";"An object N1 taking the form of a sentential complement can pronominalize into a clitic";"Paul a combiné avec Luc que Marie soit écartée = Paul l'a combiné avec Luc ; Luc va empêcher que Marie vienne = Luc va l'empêcher";"L'objet N1 prenant la forme d'une complétive peut être pronominalisé sous la forme d'un pronom préverbal"
"N1 =: Qu Pind";"binary";"N1 =: Qu P
N1 =: ce Qu Pind";;", 1, 3, 6, 7, 8, 9, 10, 12, 14, 15, 16";"An object N1 can take the form of a sentential complement in the indicative mood. When N1 is introduced by a preposition, the particle ce appears between the preposition and the complementizer que";"Paul instaure que les réunions auront lieu à 10 h ; Ceci découle de ce que Luc est revenu";"Un objet N1 peut prendre la forme d'une complétive à l'indicatif. Lorsque N1 est introduit par une préposition, la particule ce apparaît entre la préposition et la conjonction que"
"N1 =: Qu Psubj";"binary";"N1 =: Qu Psubj
N1 =: ce Qu subj";;", 1, 3, 6, 7, 8, 9, 10, 12, 13, 14, 16";"An object N1 can take the form of a sentential complement in the subjunctive mood. When N1 is introduced by a preposition, the particle ce appears between the preposition and the complementizer que";"Paul instaure que les réunions aient lieu à 10 h ; Luc a contribué à ce que Paul soit élu";"Un objet N1 peut prendre la forme d'une complétive au subjonctif. Lorsque N1 est introduit par une préposition, la particule ce apparaît entre la préposition et la conjonction que"
"N1 =: si P ou si P";"binary";"N1 =: si P ou si P";;", 6, 7, 8, 9, 10, 12, 14, 15, 16";"An object N1 can take the form of an interrogative clause";"Paul annoncera à tous si Léa vient ou pas";"Un objet N1 peut prendre la forme d'une complétive interrogative"
"N1 =: texte, N2 =: mot";"binary";"Texte de mot";;", 37E, 37M1, 37M2, 37M3, 37M4, 37M5, 37M6";"An object N1 can denote a text and an object N2 words; the sentence has a metaphorical meaning";"Paul débarasse l'article de tous les jeux de mots ; Max truffe sa thèse de citations";"L'objet N1 peut dénoter un texte et l'objet N2 des mots ; la phrase a un sens métaphorique"
"N1 =: trou";"binary";"N1 =: trou";;", 32A, 38LD, 38LR";"An object N1 can denote a hole";"Paul a ménagé une ouverture dans la paroi ; Paul a découpé un carré dans la feuille";"L'objet N1 peut dénoter un trou"
"N1 =: V0-inf W";"binary";"N1 =: V0-inf W";;", 6 , 7, 8, 14, 15, 16";"An object N1 can take the form of an infinitive clause, with an implicit subject coreferent to the main subject";"Paul pense avoir bien fait ; Luc cherche à partir loin";"L'objet N1 peut prendre la forme d'une infinitive dont le sujet implicite est coréférent à celui du verbe principal"
"N1 =: V2-inf W";"binary";"N1 =: V2-inf W";;", 14, 15, 16";"An object N1 can take the form of an infinitive clause, with an implicit subject coreferent to an object N2";"Le travail consiste pour Paul à recevoir les clients";"L'objet N1 peut prendre la forme d'une infinitive dont le sujet implicite est coréférent à l'objet N2"
"N1 apparition";"binary";;;;"An object N1 is interpreted as appearing or being created during the process";"Max a bâti une maison";"L'objet N1 est interprété comme apparaissant ou étant créé au cours du procès "
"N1 bénéficiaire";"binary";" ";;" ";"An object N1 is interpreted as receiving the referent of N2 as a benefit";"Max goinfre Bob de gâteaux";"L'objet N1 est interprété comme bénéficiaire du référent du N2"
"N1 détrimentaire";"binary";" ";;" ";"An object N1 is interpreted as losing the referent of N2";"Max a possédé Luc de 100 euros";"L'objet N1 est interprété comme perdant le référent du N2"
"N1 disparition";"binary";;;;"An object N1 is interpreted as disappearing during the process";"Max a démoli la maison";"L'objet N1 est interprété comme disparaissant au cours du procès "
"N1 mouvement";"binary";"N1 en mouvement";;", 38L1";"An object N1 is interpreted as a moving object or place";"La voiture dépasse le camion";"L'objet N1 est interprété comme un objet ou lieu en mouvement"
"N1 en V";"binary";"N1 en V";;", 34L0";"In a sentence of the form N1 V de N0, the object N0 can pronominalize into the clitic pronoun en";"Cette région regorge de pétrole = Cette région en regorge";"Dans une phrase de la forme N1 V de N0, l'objet N0 peut être pronominalisé sous la forme du pronom préverbal en"
"N1 et N2 faire V-n";"binary";"N1 et N2 faire V-n";;", 36S";"A conjunction of the objects N1 and N2 can be subject of faire followed by a deverbal noun morphologically associated with V";"Paul mélange les deux liquides = Les deux liquides font un mélange";"Une coordination des objets N1 et N2 peut être sujet de faire suivi d'un nom déverbal lié à V"
"N1 et N2 faire V-n (forme V-n)";"lexical";" ";;", 36S";"Form of a deverbal noun morphologically associated with V, used in a conjunction of the objects N1 and N2 can be subject of faire followed by the deverbal noun";"mélange";"Forme d'un nom déverbal lié à V dans une coordination des objets N1 et N2 peut être sujet de faire suivi d'un nom déverbal lié à V"
"N1 être V-adj à N2";"binary";"N1 être Adj à N2";;", 36R";"An object N1 can become the subject of a sentence with être followed by a deverbal adjective morphologically associated with V, and by an object à N2 with the same distribution as in the verbal sentence";"On a imperméabilisé ce tissu à l'eau = Ce tissu est imperméable à l'eau";"L'objet N1 peut devenir sujet d'une phrase avec être, un adjectif déverbal lié à V, et l'objet à N2 avec la même distribution que dans la phrase verbale"
"N1 être V-adj de N2";"binary";"N1 être Adj de N2
N1 être Adj (E+de N2)";;", 32RA";"An object N1 can become the subject of a sentence with être followed by a deverbal adjective morphologically associated with V, and by an object de N2 with the same distribution as in the verbal sentence";"On a libéré Paul de ses liens = Paul est libre de ses liens ; ?On a noirci la pièce de toute cette suie = ?La pièce est noire de toute cette suie (as opposed to: On a allégé le paquet de 100 g/*Le paquet est léger de 100 g)";"L'objet N1 peut devenir sujet d'une phrase avec être, un adjectif déverbal lié à V, et l'objet de N2 avec la même distribution que dans la phrase verbale"
"N1 être V-ant";"binary";"N1 être V-ant";;", 7, 32RA, 34L0";"An object N1 can become the subject of a sentence with être followed by a deverbal adjective morphologically associated with V, with the suffix -ant; other objects are not preserved";"Le papier est jaunissant ; Le gibier est abondant";"L'objet N1 peut devenir sujet d'une phrase avec être et un adjectif déverbal lié à V et suffixé en -ant (adjectif verbal) ; les autres objets ne sont pas conservés"
"N1 être V-ant Prép N0";"binary";"N1 être V-ant Prép N0";;", 34L0";"An object N1 can become the subject of a sentence with être followed by a deverbal adjective morphologically associated with V, with the suffix -ant, and by an object Prép N0";"Les étoiles sont étincelantes dans le ciel = Le ciel étincelle d'étoiles = Le ciel est étincelant d'étoiles";"L'objet N1 peut devenir sujet d'une phrase avec être, un adjectif déverbal lié à V et suffixé en -ant (adjectif verbal), et l'objet Prép N0"
"N1 être V-n";"binary";"N1 être V-n";;", 12, 32A, 32C, 32CL, 32H, 32NM, 32PL, 32R2, 32R3, 33, 34L0, 35L, 35R, 35ST, 36DT, 36R, 36S, 36SL, 37E, 38L, 38L0, 38LD, 38LH, 38LR, 38LS, 38R, 39";"An object N1 can become the subject of a sentence with être and a deverbal noun morphologically associated with V as a 'predicate nominative'";"Paul a torchonné son article = Son article est un torchon";"L'objet N1 peut devenir sujet d'une phrase avec être et un nom déverbal lié à V comme attribut du sujet"
"N1 être V-n (forme V-n)";"lexical";" ";;", 12";"Form of a deverbal noun morphologically associated with V, used when an object N1 becomes the subject of a sentence with être followed by the deverbal noun as a 'predicate nominative'";"torchon";"Forme d'un nom déverbal lié à V, utilisé lorsque l'objet N1 devient sujet d'une phrase avec être et le nom déverbal comme attribut du sujet"
"N1 être V-n pour N0";"binary";"N1 être V-n pour N0";;", 12";"An object N1 can become the subject of a sentence with être followed by a deverbal noun morphologically associated with V, and by an object pour N0";"Paul abomine cette situation = Cette situation est une abomination pour Paul";"L'objet N1 peut devenir sujet d'une phrase avec être, un nom déverbal lié à V, et un complément pour N0"
"N1 être V-n pour N0 (forme V-n)";"lexical";" ";;", 12";"Form of a deverbal noun morphologically associated with V, used when an object N1 becomes the subject of a sentence with être followed by the deverbal noun and by an object pour N0";"abomination";"Forme d'un nom déverbal lié à V, utilisé lorsque l'objet N1 devient sujet d'une phrase avec être, le nom déverbal, et un complément pour N0"
"N1 être V-n, Sfx # E";"binary";"N1 être V-n, Sfx # E";;", 38L0";"An object N1 can become the subject of a sentence with être followed by a deverbal noun morphologically associated with V, with a non-empty suffix";"Le volcan projette de la cendre = La cendre est une projection ; Luc bave sur la serviette = Luc fait une bavure sur la serviette";"L'objet N1 peut devenir sujet d'une phrase avec être et un nom déverbal lié à V et portant un suffixe non vide"
"N1 être V-n, Sfx # E (forme V-n)";"lexical";"suffixeN";"zone";", 38L0";"Form of a deverbal noun morphologically associated with V, used when an object N1 becomes the subject of a sentence with être followed by the deverbal noun, with a non-empty suffix";"bavure";"Forme d'un nom déverbal lié à V, utilisé lorsque l'objet N1 devient sujet d'une phrase avec être, le nom déverbal et portant un suffixe non vide"
"N1 être Vpp (statique)";"binary";"N1 est Vpp";"N1 être Vpp";", 36DT, 37E, 38L, 38L0, 38LD, 38LH, 38LR, 38LS, 39";"Passive without complements, acceptable in the present tense and interpreted as a static result";"Luc balaie le couloir de tous les détritus = Le couloir est balayé ; Luc ancre le bateau dans la crique = Le bateau est ancré ; Le choc éboule le mur en gravats = Le mur est éboulé";"Passif sans compléments, acceptable au présent et interprété comme un résultat statique du procès "
"N1 être Vpp de ce Qu P";"binary";"N1 est Vpp de ce Qu P";;", 4, 11";"Passivization of a sentence with a sentential subject; the agent is introduced by the preposition de; other objects, if any, are not preserved; the sentence is acceptable in the present tense and interpreted as a static result ";"Que Luc s'en aille étonne Paul = Paul est étonné de ce que Luc s'en aille ; Que Marie soit venue excite Pierre à se faire valoir = Pierre est excité de ce que Marie soit venue";"Passivation d'une phrase à complétive sujet ; le complément d'agent est introduit par la préposition de ; les autres compléments éventuels ne sont pas conservés ; la phrase est acceptable au présent et interprétée comme un résultat statique du procès"
"N1 être Vpp de N0";"binary";"N1 être Vpp de N0";;", 10, 11, 13, 15";"Passivization with agent introduced by the preposition de; other objects, if any, are not preserved; if N1 is a prepositional object, it becomes the passive subject without its preposition";"Tous détestent Paul = Paul est détesté de tous ; Tous ont discuté de ce problème = Ce problème a été discuté de tous";"Passivation avec complément d'agent introduit par la préposition de ; les autres objets ne sont pas conservés ; si N1 est un objet indirect, il devient sujet passif sans sa préposition"
"N1 être Vpp de N0 à ce Qu P";"binary";"N1 être Vpp de N0 à ce Qu P";;", 11";"Passivization with agent introduced by the preposition de; an object à ce Qu P is preserved";"Paul a été encouragé de tous à faire ça";"Passivation avec complément d'agent introduit par la préposition de ; l'objet à ce Qu P est conservé"
"N1 être Vpp de N0 de ce Qu P";"binary";"N1 être Vpp de N0 de ce Qu P";;", 13";"Passivization with agent introduced by the preposition de; an object de ce Qu P is preserved";"Paul a été hué de la foule d'avoir fait ça";"Passivation avec complément d'agent introduit par la préposition de ; l'objet de ce Qu P est conservé"
"N1 être Vpp de N0 Prép N2";"binary";"N1 être Vpp de N0 Prép N2";;", 10, 15";"Passivization with agent introduced by the preposition de; an object Prép N2 is preserved; if N1 is a prepositional object, it becomes the passive subject without its preposition";"Tous ont lu la nouvelle dans le journal = La nouvelle a été lue de tous dans le journal ; Tous ont attesté de ce fait auprès des enquêteurs = Ce fait a été attesté de tous auprès des enquêteurs";"Passivation avec complément d'agent introduit par la préposition de ; l'objet Prép N2 est conservé ; si N1 est un objet indirect, il devient sujet passif sans sa préposition"
