"<ID>";"N1 V";"N2 V N1";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"N1 =: Nhum";"N0 lui V N1pc W";"N0 V N1 Loc N1pc W";"N1 =: N-hum";"N1 =: le fait Qu P";"Ppv =: le";"N0 V N1 de N2";"N0 V N1 de N2 = N0 mettre N2 Loc N1";"N0 V N1 de N2 = N0 enlever N2 de N1";"de combien ?";"Ppv =: en";"N0 V Nhum sur ce point";"N1 être Vpp W";"N1 être V-adj de N2";"V-adj";"N1 se V (neutre)";"N0 rendre N1 V-adj";"N0 rendre N1 plus V-adj";"N0 rendre N1 V-adj (forme V-adj)";"N0 rendre N1 plus V-adj (forme V-adj)";"<OPT>";"<ENGLISH>"
"238";"-";"-";"<E>";"libéraliser";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"~";"-";"+";"-";"-";"+";"+";"+";"libéral";"libéral";"Le parlement a libéralisé le régime";"to liberalize"
"239";"-";"-";"<E>";"libérer";"+";"-";"-";"+";"-";"+";"+";"+";"+";"-";"+";"+";"~";"+";"+";"+";"libre";"+";"+";"-";"libre";"<E>";"L'état a libéré le prix du pain";"to liberate"
"240";"-";"-";"<E>";"libérer";"+";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"~";"-";"+";"+";"libre";"+";"+";"+";"libre";"libre";"Max a libéré le bureau de ses papiers";"to clean"
"241";"~";"~";"<E>";"linéariser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"+";"linéaire";"linéaire";"Les matheux linéarisent les produits";"?"
"242";"-";"-";"<E>";"liquéfier";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"~";"-";"+";"-";"-";"+";"+";"-";"liquide";"<E>";"La chaleur a liquéfié le beurre";"to liquefy"
"243";"-";"-";"<E>";"lisser";"+";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"+";"~";"-";"+";"-";"-";"+";"+";"+";"lisse";"lisse";"Max lisse la peau";"to smooth"
"244";"~";"~";"<E>";"localiser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"+";"local";"local";"On a localisé l'épidémie";"?"
"245";"-";"-";"<E>";"magnétiser";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"~";"-";"+";"-";"-";"+";"+";"-";"magnétique";"<E>";"Le courant magnétise le fer";"to magnetize"
"246";"+";"-";"<E>";"maigrir";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"+";"~";"-";"+";"-";"-";"-";"+";"+";"maigre";"maigre";"Cette robe maigrit Flo(E+de 10 kilos)";"to make one look slim"
"247";"~";"~";"<E>";"mailler";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"-";"maillé";"<E>";"Yves a maillé un filet";"?"
"248";"-";"-";"<E>";"marginaliser";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"+";"-";"-";"-";"+";"+";"+";"marginal";"marginal";"Le chômage marginalisé les cadres";"to marginalize"
"249";"-";"-";"<E>";"marxiser";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"~";"+";"-";"-";"-";"+";"+";"+";"marxiste";"marxiste";"Cette influence a marxisé ce groupuscule";"to make Marxist"
"250";"-";"+";"<E>";"masculiniser";"+";"-";"+";"+";"+";"+";"-";"+";"+";"+";"-";"+";"~";"-";"+";"-";"-";"+";"+";"+";"masculin";"masculin";"Ce costume masculinise Jo";"to make one look masculine"
"251";"-";"-";"<E>";"masculiniser";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"+";"-";"-";"-";"+";"-";"+";"<E>";"masculin";"Ces mesures vont masculiniser le corps enseignant";"to make a man's profession"
"252";"-";"+";"<E>";"matérialiser";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"~";"-";"+";"-";"-";"+";"+";"-";"matériel";"<E>";"Max a matérialisé son(projet+rêve)";"to make materialize"
"253";"-";"-";"<E>";"mathématiser";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"~";"-";"-";"-";"-";"+";"+";"-";"mathématique";"<E>";"Max a mathématisé sa description";"to make mathematical"
"254";"-";"-";"<E>";"maximaliser";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"~";"-";"-";"-";"-";"+";"+";"-";"maximal";"<E>";"Cette procédure maximalise les différences";"to make maximal"
"255";"-";"-";"<E>";"maximiser";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"~";"-";"-";"-";"-";"+";"+";"-";"maximum";"<E>";"Ce boum économique maximise le profit";"to maximize"
"256";"-";"-";"<E>";"mécaniser";"+";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"+";"~";"-";"+";"-";"-";"+";"+";"+";"mécanique";"mécanique";"On a mécanisé la gestion des stocks";"to mechanize"
"257";"-";"-";"<E>";"médiatiser";"+";"-";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"~";"-";"-";"-";"-";"+";"+";"+";"médiatique";"médiatique";"Max médiatise son angoisse d'expédients";"to mediatize"
"258";"-";"-";"<E>";"mélodramatiser";"+";"-";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"~";"-";"-";"-";"-";"+";"+";"+";"mélodramatique";"mélodramatique";"L'auteur a mélodramatisé son histoire";"to make melodramatic"
"259";"-";"-";"<E>";"mensualiser";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"~";"-";"-";"-";"-";"+";"+";"-";"mensuel";"<E>";"On a mensualisé (E+les salaires)des dockers";"to pay on a monthly basis"
"260";"-";"+";"<E>";"métisser";"+";"-";"+";"-";"-";"+";"-";"+";"+";"+";"-";"+";"~";"-";"+";"-";"-";"+";"+";"-";"métissé";"<E>";"Les invasions ont métissé la population";"to crossbreed"
"261";"-";"-";"<E>";"militariser";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"+";"~";"-";"+";"-";"-";"+";"+";"-";"militaire";"<E>";"On a militarisé cette zone";"to militarize"
"262";"~";"~";"<E>";"milletupler";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"+";"-";"milletuple";"<E>";"On a milletuplé la production";"?"
"263";"+";"-";"<E>";"mincir";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"+";"~";"-";"+";"-";"-";"-";"-";"+";"<E>";"mince";"Cette robe mincit Ida";"to make one look thin"
"264";"-";"-";"<E>";"minéraliser";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"~";"-";"+";"-";"-";"+";"+";"+";"minéral";"minéral";"Le passage dans les couches de granit minéralise l'eau";"to mineralize"
"265";"-";"-";"<E>";"miniaturiser";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"~";"-";"+";"-";"-";"+";"+";"-";"miniature";"<E>";"On miniaturise les composants";"to miniaturize"
"266";"-";"-";"<E>";"minimaliser";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"~";"+";"-";"-";"-";"+";"+";"-";"minimal";"<E>";"Ce procédé minimalise le coût";"to make minimal"
"267";"-";"-";"<E>";"minimiser";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"+";"~";"-";"-";"-";"-";"+";"+";"-";"minimum";"<E>";"Cette procédure minimise les risques";"to minimize"
"268";"~";"~";"<E>";"mixter";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"-";"mixte";"<E>";"On a mixté les écoles";"?"
"269";"-";"-";"<E>";"moderniser";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"~";"-";"+";"-";"-";"+";"-";"+";"<E>";"moderne";"Max a modernisé les programmes";"to modernize"
"270";"+";"-";"<E>";"moitir";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"+";"~";"-";"-";"-";"-";"-";"+";"-";"moite";"<E>";"L'humidité moitit le linge";"to make sticky"
"271";"~";"~";"<E>";"monarchiser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"-";"monarchique";"<E>";"Ces nouvelles dispositions ont monarchisé le régime";"?"
"272";"+";"-";"<E>";"mondaniser";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"+";"-";"-";"-";"+";"+";"-";"mondain";"<E>";"Ses nouvelles fonctions ont mondanisé Max";"?"
"273";"-";"-";"<E>";"mondialiser";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"~";"-";"-";"-";"-";"+";"+";"-";"mondial";"<E>";"Les événements ont mondialisé le conflit";"to make world-wide"
"274";"-";"+";"<E>";"moraliser";"+";"-";"+";"+";"-";"+";"+";"+";"+";"+";"-";"+";"~";"+";"-";"-";"-";"+";"+";"+";"moral";"moral";"Cette loi moralise la vie publique";"to moralize"
"275";"~";"~";"<E>";"multinationaliser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"-";"multinational";"<E>";"On a multinationalisé ces entreprises par des fusions";"?"
"276";"-";"-";"<E>";"multiplier";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"~";"-";"-";"-";"-";"+";"+";"-";"multiple";"<E>";"Max a multiplié les géraniums par bouturage";"to multiply"
"277";"-";"-";"<E>";"municipaliser";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"~";"-";"+";"-";"-";"-";"+";"-";"municipal";"<E>";"Cette loi municipalise (les terrains+les pouvoirs de décision)";"to make municipal"
"278";"+";"-";"<E>";"mûrir";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"~";"+";"-";"-";"-";"-";"+";"+";"mûr";"mûr";"Le soleil mûrit les fruits";"to ripen"
"279";"~";"~";"<E>";"mysticiser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"+";"mystique";"mystique";"Sa visite à Lourdes l'a mysticisé ";"?"
"280";"~";"~";"<E>";"nanifier";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"-";"nain";"<E>";"Paul a nanifié cette plante";"?"
"281";"~";"~";"<E>";"naniser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"-";"nain";"<E>";"Paul a nanisé cette plante";"?"
"282";"-";"-";"<E>";"nasaliser";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"~";"-";"+";"-";"-";"-";"+";"-";"nasal";"<E>";"Paul nasalise les voyelles";"to nasalize"
"283";"-";"-";"<E>";"nationaliser";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"~";"-";"+";"-";"-";"-";"+";"-";"national";"<E>";"L'état a nationalisé cette compagnie";"to nationalize"
"284";"-";"-";"<E>";"nazifier";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"+";"~";"-";"+";"-";"-";"+";"+";"-";"nazi";"<E>";"La propagande a nazifié (les cadres+ce pays)";"to make Nazi"
"285";"-";"-";"<E>";"nécessiter";"+";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"~";"-";"-";"-";"-";"-";"+";"-";"nécessaire";"<E>";"Son état nécessite une intervention";"to require"
"286";"-";"+";"<E>";"nettoyer";"+";"-";"+";"+";"+";"+";"-";"+";"+";"+";"+";"+";"~";"-";"+";"+";"net";"-";"+";"+";"net";"net";"Max a nettoyé le mur de toutes les taches";"to clean"
"287";"-";"+";"<E>";"neutraliser";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"~";"+";"+";"-";"-";"-";"+";"-";"neutre";"<E>";"Le conseil a neutralisé ce pays";"to neutralize"
"288";"+";"+";"<E>";"noircir";"+";"-";"+";"+";"+";"+";"-";"+";"+";"+";"-";"+";"~";"-";"+";"+";"noir";"-";"+";"+";"noir";"noir";"Le soleil noircit les cheveux de Luc";"to blacken"
"289";"-";"+";"<E>";"nomadiser";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"+";"+";"-";"-";"+";"+";"+";"nomade";"nomade";"Cette évolution nomadise les paysans";"to make nomadic"
"290";"~";"~";"<E>";"nonupler";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"+";"-";"nonuple";"<E>";"Paul a nonuplé son chiffre d'affaires";"?"
"291";"-";"-";"<E>";"normaliser";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"+";"~";"-";"+";"-";"-";"+";"+";"-";"normal";"<E>";"Max a normalisé ses relations avec Luc";"to normalize"
"292";"~";"~";"<E>";"nucléariser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"-";"nucléaire";"<E>";"L'état nucléarise progressivement l'énergie";"?"
"293";"~";"~";"<E>";"numériser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"+";"-";"numérique";"<E>";"On a numérisé ces images";"to digitalize"
"294";"~";"~";"<E>";"nupler";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"<E>";"<E>";"N0 Nuple N1";"?"
"295";"-";"-";"<E>";"objectiver";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"~";"-";"+";"-";"-";"+";"+";"+";"objectif";"objectif";"Max objective son comportement";"to objectivize"
"296";"~";"~";"<E>";"obscurcir";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"+";"obscur";"obscur";"La fumée obscurcit l'atmosphère";"?"
"297";"~";"~";"<E>";"occidentaliser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"+";"occidental";"occidental";"Ces mesures ont occidentalisé le Japon";"?"
"298";"+";"+";"<E>";"ocrer";"+";"-";"-";"+";"+";"+";"-";"+";"+";"+";"-";"+";"~";"-";"+";"+";"ocre";"-";"+";"-";"ocre";"<E>";"Max a ocré la façade";"to make ochred"
"299";"~";"~";"<E>";"octupler";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"+";"-";"octuple";"<E>";"Cette mesure a octuplé la production";"?"
"300";"-";"+";"<E>";"officialiser";"+";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"+";"~";"-";"+";"-";"-";"+";"+";"-";"officiel";"<E>";"On a officialisé sa nomination";"to officialize"
"301";"-";"+";"<E>";"opacifier";"+";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"~";"-";"+";"+";"opaque";"+";"+";"+";"opaque";"opaque";"Cette maladie opacifie le cristallin";"to make opaque"
"302";"~";"~";"<E>";"optimaliser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"+";"-";"optimal";"<E>";"Cette mesure optimalise les condition de travail";"to optimize"
"303";"-";"-";"<E>";"optimiser";"+";"-";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"~";"-";"+";"-";"-";"-";"+";"-";"optimum";"<E>";"Cette mesure optimise les conditions de travail";"to optimize"
"304";"~";"~";"<E>";"oraliser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"-";"oral";"<E>";"L'élève oralise le texte";"?"
"305";"-";"+";"<E>";"oranger";"+";"-";"-";"+";"-";"+";"-";"+";"+";"+";"-";"-";"~";"-";"+";"+";"orange";"-";"+";"-";"orange";"<E>";"Max a légèrement orangé son plafond";"to make orange"
"306";"-";"-";"<E>";"ovaliser";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"~";"-";"+";"-";"-";"+";"+";"+";"oval";"oval";"La chaleur a ovalisé la culasse";"to make oval"
"307";"~";"~";"<E>";"paganiser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"-";"païen";"<E>";"On a paganisé ces individus";"?"
"308";"+";"+";"<E>";"pâlir";"+";"-";"-";"+";"+";"+";"-";"+";"+";"+";"+";"+";"~";"-";"+";"-";"-";"-";"+";"-";"pâle";"<E>";"Le soleil a pâli la couleur du papier";"to turn pale"
"309";"~";"~";"<E>";"paralléliser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"+";"-";"parallèle";"<E>";"On a parallélisé les roues de la voiture";"?"
"310";"-";"-";"<E>";"paralyser";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"~";"-";"+";"-";"-";"-";"+";"-";"paralysé";"<E>";"La polio a paralysé Max";"to paralyze"
"311";"-";"+";"<E>";"parfaire";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"-";"~";"-";"-";"-";"-";"+";"+";"+";"parfait";"parfait";"Ce chapeau parfait sa ressemblance avec Luc";"to perfect"
"312";"-";"+";"<E>";"parisianiser";"+";"-";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"~";"+";"+";"-";"-";"+";"+";"+";"parisien";"parisien";"Ses fréquentations ont parisianisé Max";"to turn Parisian"
"313";"~";"~";"<E>";"particulariser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"+";"particulier";"particulier";"On a particularisé cette description";"?"
"314";"~";"~";"<E>";"passionner";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"+";"+";"passionné";"passionné";"Cette question a passionné le débat";"?"
"315";"~";"~";"<E>";"périphériser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"+";"périphérique";"périphérique";"On a périphérisé ces entreprises";"?"
"316";"~";"~";"<E>";"perméabiliser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"-";"perméable";"<E>";"On a perméabilisé ce papier";"?"
"317";"-";"+";"<E>";"personnaliser";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"+";"~";"-";"+";"-";"-";"-";"+";"+";"personnel";"personnel";"Max a personnalisé sa voiture";"to customize"
"318";"~";"~";"<E>";"planer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"+";"plan";"plan";"Le menuisier plane la planche";"?"
"319";"~";"~";"<E>";"planétariser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"+";"planétaire";"planétaire";"Ceci a planétarisé le conflit";"to make world-wide"
"320";"~";"~";"<E>";"pluraliser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"-";"pluriel";"<E>";"On pluralise les substantifs comparables";"?"
"321";"-";"+";"<E>";"poétiser";"+";"-";"+";"-";"-";"+";"+";"+";"+";"+";"-";"+";"~";"-";"-";"-";"-";"+";"+";"+";"poétique";"poétique";"Max poétise ses souvenirs";"to poetize"
"322";"-";"+";"<E>";"politiser";"+";"-";"+";"-";"-";"+";"+";"+";"+";"+";"-";"+";"~";"+";"+";"-";"-";"+";"+";"+";"politique";"politique";"On a politisé la question";"to politicize"
"323";"-";"-";"<E>";"populariser";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"~";"-";"-";"-";"-";"+";"+";"+";"populaire";"populaire";"Ce tube a popularisé Max";"to popularize"
"324";"~";"~";"<E>";"populariser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"+";"populaire";"populaire";"Ces constructions ont popularisé le quartier";"to make popular"
"325";"~";"~";"<E>";"positiver";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"+";"positif";"positif";"Ce stage positive les cadres";"?"
"326";"~";"~";"<E>";"possibiliser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"-";"possible";"<E>";"On a possibilisé ce(projet+résultat)";"?"
"327";"-";"+";"<E>";"pourprer";"+";"-";"-";"+";"-";"+";"-";"+";"+";"+";"-";"-";"~";"-";"+";"-";"-";"+";"+";"-";"pourpre";"<E>";"Le coucher de soleil pourprait le ciel d'une teinte rougeâtre";"to turn crimson"
"328";"~";"~";"<E>";"précariser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"+";"précaire";"précaire";"Ces mesures précarise la situation des cadres";"?"
"329";"-";"+";"<E>";"préciser";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"-";"+";"~";"-";"+";"-";"-";"+";"-";"+";"<E>";"précis";"Max a précisé sa formulation";"to specify"
"330";"~";"~";"<E>";"présidentialiser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"-";"présidentiel";"<E>";"Ces disposition ont présidentialisé le régime";"?"
"331";"-";"-";"<E>";"privatiser";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"-";"+";"-";"-";"+";"+";"-";"privé";"<E>";"On a privatisé ce service";"to privatize"
"332";"~";"~";"<E>";"problématiser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"-";"problématique";"<E>";"Cette affaire problématise la réélection de Max";"?"
"333";"~";"~";"<E>";"professionnaliser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"-";"professionnel";"<E>";"On a professionnalisé (ce sport+ces sportifs)";"?"
"334";"-";"-";"<E>";"prolétariser";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"~";"-";"+";"-";"-";"+";"+";"-";"prolétaire";"<E>";"Cette évolution prolétarise les artisans";"to proletarianize"
"335";"-";"+";"<E>";"prolonger";"+";"-";"-";"+";"+";"+";"-";"+";"+";"+";"-";"+";"~";"+";"+";"-";"-";"+";"-";"+";"<E>";"long";"On a prolongé la route d'un sentier";"to extend"
"336";"~";"~";"<E>";"pronominaliser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"-";"pronominalisé";"<E>";"Max a pronominalisé ce verbe";"?"
"337";"~";"~";"<E>";"protestaniser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"-";"protestant";"<E>";"On a protestanisé cette population";"?"
"338";"~";"~";"<E>";"provençaliser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"-";"provençal";"<E>";"On a provençalisé cette région en plantant de la farigoulette";"?"
"339";"~";"~";"<E>";"provincialiser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"-";"provincial";"<E>";"Ceci a provincialisé cette banlieue";"?"
"340";"~";"~";"<E>";"psychiatriser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"+";"-";"psychiatrique";"<E>";"On psychiatrise ce genre de phénomène";"?"
"341";"~";"~";"<E>";"psychologiser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"+";"-";"psychologique";"<E>";"On a psychologisé l'échec scolaire";"?"
"342";"~";"~";"<E>";"psychotiser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"-";"psychotique";"<E>";"Les influences ont psychoté Max";"?"
"343";"~";"~";"<E>";"puériliser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"-";"puéril";"<E>";"(Ceci+Léa)a puérilisé Max";"?"
"344";"-";"-";"<E>";"purifier";"+";"-";"+";"+";"-";"+";"-";"+";"+";"+";"+";"+";"~";"+";"+";"+";"pur";"-";"+";"+";"pur";"pur";"Ce procédé purifie l'eau des bactéries";"to purify"
"345";"+";"-";"<E>";"quadrupler";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"~";"-";"-";"-";"-";"-";"+";"-";"quadruple";"<E>";"Ces améliorations ont quadruplé la production";"?"
"346";"+";"-";"<E>";"quintupler";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"~";"-";"-";"-";"-";"-";"+";"-";"quintuple";"<E>";"Max a quintuplé sa mise";"?"
"347";"+";"-";"<E>";"raccourcir";"+";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"+";"~";"-";"+";"-";"-";"+";"-";"+";"<E>";"court";"Le froid a raccourci la barre de fer";"to shorten"
"348";"-";"-";"<E>";"radicaliser";"+";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"~";"+";"-";"-";"-";"+";"+";"+";"radical";"radical";"Ce chef a radicalisé les positions du parti";"to harden"
"349";"~";"~";"<E>";"radioactiver";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"-";"radioactif";"<E>";"Ce procédé radioactive cette particule";"?"
"350";"-";"-";"<E>";"radoucir";"+";"-";"+";"-";"-";"+";"-";"+";"+";"+";"-";"-";"~";"-";"+";"-";"-";"+";"-";"+";"<E>";"doux";"Le soleil a radouci la température de quelques degrés";"to make milder"
"351";"+";"+";"<E>";"raffermir";"+";"-";"-";"+";"+";"+";"-";"+";"+";"+";"-";"+";"~";"+";"-";"-";"-";"+";"-";"+";"<E>";"ferme";"Ce traitement raffermit les seins";"to make firm"
"352";"-";"-";"<E>";"raffiner";"+";"-";"+";"-";"-";"+";"-";"+";"+";"-";"+";"-";"~";"-";"+";"-";"-";"+";"+";"+";"fin";"fin";"Max a raffiné (son style+sa description)";"to refine"
"353";"+";"+";"<E>";"rafraîchir";"+";"-";"-";"+";"-";"+";"-";"+";"+";"+";"-";"+";"~";"+";"+";"-";"-";"-";"-";"+";"<E>";"frais";"La glace rafraîchit le vin";"to cool"
"354";"+";"+";"<E>";"raidir";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"+";"~";"+";"+";"-";"-";"+";"+";"+";"raide";"raide";"Le froid raidit le caoutchouc";"to stiffen"
"355";"+";"-";"<E>";"rajeunir";"+";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"+";"~";"+";"+";"-";"-";"+";"-";"+";"<E>";"jeune";"On a rajeuni la direction";"to bring new blood into"
"356";"~";"~";"<E>";"rajuster";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"+";"juste";"juste";"L'artilleur a rajusté (le tir+sa stratégie)";"?"
"357";"+";"-";"<E>";"ralentir";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"+";"~";"-";"+";"-";"-";"+";"-";"+";"<E>";"lent";"Les bouchons ralentissent le trafic";"to slow down"
