"<ID>";"N0 être V-n";"N0 lieu de destination de N2";"N1 V";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"N1 =: Nhum";"N0 V N0pc W";"N1 =: N-hum";"N1 =: le fait Qu P";"N1 être V-n";"N0 V N1";"N1 être Vpp (statique)";"N2 =: Nhum";"N2 =: N-hum";"N2 être V-n, Sfx = E";"N2 =: Npl obl";"N2 être V-n, Sfx # E";"Sfx =: age";"Sfx =: ment";"Sfx =: tion";"Sfx =: ure";"Ppv =: en";"V-n instrument";"de N2 =: de combien ?";"N0 V N2 (E+de N1 source)";"N0 V N2";"à Nhum source";"N1 =: texte, N2 =: mot";"N1 =: esprit, N2 =: idée";"N0 V N1hum de N2abs";"N0 être V-n (forme V-n)";"N1 être V-n (forme V-n)";"V-n instrument (forme V-n)";"<OPT>"
"193";"-";"-";"-";"<E>";"étancher";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max étanche la plaie du sang qui en coule"
"194";"-";"-";"-";"<E>";"étêter";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"On étête les arbres de leurs rameaux supérieurs"
"195";"-";"-";"-";"<E>";"étiger";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"On étige les roses de leur queue"
"196";"~";"~";"~";"<E>";"étriper";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max a étripé le veau de ses boyaux"
"197";"~";"~";"~";"<E>";"étuver";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max étuve son bois de son humidité"
"198";"-";"-";"-";"<E>";"évacuer";"+";"-";"-";"-";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"On a évacué la région de ses habitants"
"199";"-";"-";"-";"<E>";"évider";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a évidé la pomme de son milieu"
"200";"~";"~";"~";"<E>";"exciser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"On a excisé cette femme de sa tumeur"
"201";"~";"~";"~";"<E>";"exempter";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"On a exempté ce produit de toutes les taxes"
"202";"-";"-";"-";"<E>";"exonérer";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"~";"+";"-";"-";"-";"<E>";"<E>";"<E>";"On a exonéré Max d'impôts"
"203";"-";"-";"-";"<E>";"exorciser";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"~";"+";"-";"-";"+";"<E>";"<E>";"<E>";"Max a exorcisé Léa des démons qui l'habitaient"
"204";"-";"-";"-";"<E>";"expurger";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"~";"-";"+";"-";"-";"<E>";"<E>";"<E>";"On a expurgé ce texte de tous les passages drôles"
"205";"-";"-";"-";"<E>";"faucher";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"~";"-";"-";"-";"-";"<E>";"<E>";"faux";"On a fauché le champs des herbes hautes"
"206";"+";"+";"-";"<E>";"filouter";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"~";"+";"-";"-";"+";"filou";"<E>";"<E>";"Max a filouté Luc de 100frs"
"207";"-";"-";"-";"<E>";"filtrer";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"~";"-";"+";"-";"-";"<E>";"<E>";"filtre";"Le charbon filtre l'eau de ses impuretés"
"208";"-";"+";"-";"<E>";"flouer";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"~";"-";"-";"-";"+";"<E>";"<E>";"<E>";"Max a floué Ida d'une partie de son héritage"
"209";"~";"~";"~";"<E>";"friponner";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max a friponné le vieillard de ses économies"
"210";"-";"-";"-";"<E>";"gauler";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"~";"-";"-";"-";"-";"<E>";"<E>";"gaule";"Max gaule le noyer de tous ses fruits"
"211";"-";"-";"-";"<E>";"gommer";"+";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"~";"-";"+";"+";"-";"<E>";"<E>";"gomme";"Max a gommé la feuille de toutes les taches à la gomme"
"212";"-";"-";"-";"<E>";"gratter";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a gratté le mur de tous les graffitis"
"213";"~";"~";"~";"<E>";"grignoter";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max a grignoté son héritage d'une bonne partie"
"214";"-";"+";"-";"<E>";"gruger";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"~";"+";"-";"-";"-";"<E>";"<E>";"<E>";"Max a grugé Luc d'une somme importante"
"215";"-";"-";"-";"<E>";"laver";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"~";"-";"+";"+";"+";"<E>";"<E>";"<E>";"Max a lavé le mur des graffitis"
"216";"-";"+";"-";"<E>";"lécher";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max lèche le bol de toute trace de miel"
"217";"-";"+";"-";"<E>";"lessiver";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"~";"-";"+";"+";"+";"<E>";"<E>";"lessive";"Max a lessivé le mur de ses taches"
"218";"~";"~";"~";"<E>";"libérer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max a libéré le pays de l'occupant"
"219";"-";"-";"-";"<E>";"limer";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"~";"-";"-";"-";"-";"<E>";"<E>";"lime";"Max a limé la barre de ses barbes"
"220";"~";"~";"~";"<E>";"lobotomiser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"On a lobotomisé Max du lobe frontal"
"221";"-";"-";"-";"<E>";"meuler";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"~";"-";"-";"-";"-";"<E>";"<E>";"meule";"Max a meulé la pièce de ses barbes"
"222";"-";"-";"-";"<E>";"minorer";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a minoré le prix total(de la taxe+de 3%)"
"223";"-";"-";"-";"<E>";"moissonner";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"On a moissonné le champ de tout son blé"
"224";"~";"~";"~";"<E>";"morfiler";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"On a morfilé la pièce de son morfil"
"225";"-";"-";"-";"<E>";"mutiler";"+";"-";"+";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"~";"+";"+";"+";"+";"<E>";"<E>";"<E>";"Un éclat d'obus a mutilé Max de la main droite"
"226";"-";"+";"-";"<E>";"nettoyer";"+";"-";"+";"-";"+";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"-";"+";"+";"+";"<E>";"<E>";"<E>";"Les invités ont nettoyé le buffet de toutes les charcuteries"
"227";"~";"~";"~";"<E>";"nettoyer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Paulo a nettoyé Riton de tout son fric"
"228";"-";"+";"-";"<E>";"niquer";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"~";"+";"-";"-";"-";"<E>";"<E>";"<E>";"Dédé a niqué Bob de mille francs"
"229";"~";"~";"~";"<E>";"parer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Le boucher a paré la viande de tout le gras"
"230";"-";"-";"+";"<E>";"peler";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max pèle l'orange de son écorce"
"231";"~";"~";"~";"<E>";"pelurer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"On a peluré les patates"
"232";"-";"+";"-";"<E>";"piller";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"+";"+";"-";"+";"<E>";"<E>";"<E>";"L'ennemi a pillé le palais de toutes ses richesses"
"233";"-";"-";"-";"<E>";"plumer";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"+";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a plumé l'oie de son duvet"
"234";"~";"~";"~";"<E>";"plumer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max a plumé Luc de 100 Frs au poker"
"235";"-";"+";"-";"<E>";"pomper";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"~";"-";"+";"-";"+";"<E>";"<E>";"pompe";"Max a pompé le réservoir de toute l'eau"
"236";"-";"-";"-";"<E>";"poncer";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"~";"-";"-";"-";"-";"<E>";"<E>";"ponceuse";"Max a poncé la planche de toutes les aspérités"
"237";"-";"+";"-";"<E>";"ponctionner";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"+";"+";"-";"+";"<E>";"<E>";"<E>";"On lui a ponctionné l'estomac de liquide"
"238";"-";"+";"-";"<E>";"posséder";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a possédé Luc de 100Fdans cet affaire"
"239";"-";"-";"-";"<E>";"presser";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"~";"-";"+";"+";"+";"<E>";"<E>";"presse";"Max a pressé le citron de tout son jus"
"240";"-";"+";"-";"<E>";"pressurer";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"-";"+";"+";"+";"<E>";"<E>";"<E>";"L'état pressure les cadres d'une partie de leurs revenus"
"241";"-";"-";"-";"<E>";"purger";"+";"-";"+";"-";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"~";"-";"+";"+";"+";"<E>";"<E>";"<E>";"Max a purgé le radiateur de tout l'air"
"242";"-";"-";"+";"<E>";"rabaisser";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a rabaissé le prix de la voiture de 100F"
"243";"-";"-";"-";"<E>";"rabattre";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a rabattu le prix de 100 F"
"244";"-";"-";"-";"<E>";"raboter";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"~";"-";"-";"-";"-";"<E>";"<E>";"rabot";"Max a raboté la planche de ses aspérités"
"245";"-";"-";"-";"<E>";"racler";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"~";"-";"+";"-";"-";"<E>";"<E>";"<E>";"Max a raclé la planche de ses aspérités"
"246";"-";"-";"-";"<E>";"ramoner";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a ramoné la cheminée de sa suie"
"247";"~";"~";"~";"<E>";"ramser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Paul a ramsé son voisin de son dessert"
"248";"-";"+";"-";"<E>";"rançonner";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"~";"+";"-";"-";"-";"<E>";"<E>";"<E>";"Max a rançonné les voyageurs de leurs valeurs"
"249";"-";"-";"-";"<E>";"râper";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a râpé la planche de ses barbes"
"250";"-";"-";"-";"<E>";"raser";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max rase son visage(E+de sa barbe)"
"251";"-";"-";"-";"<E>";"râteler";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"~";"+";"-";"-";"-";"<E>";"<E>";"râteau";"Max a râtelé l'allée de toutes les feuilles"
"252";"-";"+";"-";"<E>";"ratiboiser";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"~";"+";"-";"-";"-";"<E>";"<E>";"<E>";"Max a ratiboisé mille francs à Ida"
"253";"-";"+";"-";"<E>";"ratisser";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"~";"-";"-";"-";"-";"<E>";"<E>";"râteau";"Max a ratissé l'allée de toutes ses feuilles"
"254";"-";"+";"-";"<E>";"razzier";"+";"-";"+";"-";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"~";"+";"+";"-";"+";"<E>";"<E>";"<E>";"Les pirates ont razzié la région de trucs de tous les trésors"
"255";"-";"-";"-";"<E>";"récurer";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"-";"+";"+";"+";"<E>";"<E>";"<E>";"Luc a récuré toutes les casseroles"
"256";"-";"+";"-";"<E>";"refaire";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a refait Luc d'une grosse somme"
"257";"~";"~";"~";"<E>";"repasser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Paulo a repassè Bob d'une grosse somme"
"258";"-";"+";"-";"<E>";"rétamer";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max s'est fait rétamer de tout son fric"
"259";"-";"+";"-";"<E>";"rincer";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"+";"~";"-";"-";"+";"-";"<E>";"<E>";"<E>";"Paulo a rincé les assiettes de toute la mousse"
"260";"~";"~";"~";"<E>";"rincer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Paulo a rincé Riton de tout son fric"
"261";"-";"-";"-";"<E>";"rogner";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"~";"-";"+";"-";"-";"<E>";"<E>";"<E>";"Max a rogné (la planche+le livre)de ce qui dépassait"
"262";"-";"+";"-";"<E>";"rouler";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a roulé Luc d'une grosse somme"
"263";"-";"+";"-";"<E>";"roulotter";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"On a roulotté Max de ses bagages"
"264";"-";"+";"+";"<E>";"saigner";"+";"-";"+";"-";"+";"-";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"-";"-";"-";"+";"<E>";"<E>";"<E>";"Ida a saigné Max de quelques millions"
"265";"~";"~";"~";"<E>";"saigner";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max a saigné le cochon de son sang"
"266";"-";"-";"-";"<E>";"sarcler";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a sarclé les allées de tout le chiendent"
"267";"-";"-";"-";"<E>";"saucer";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a saucé son assiette"
"268";"~";"~";"~";"<E>";"savonner";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max a savonné le mur de toutes les taches"
"269";"-";"-";"-";"<E>";"scalper";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"+";"-";"-";"-";"<E>";"<E>";"<E>";"Max a scalpé Ida de ses tifs"
"270";"-";"-";"-";"<E>";"secouer";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a secoué la salade de toute l'eau"
"271";"-";"-";"-";"<E>";"sevrer";"+";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"~";"-";"-";"+";"+";"<E>";"<E>";"<E>";"Ida sèvre Max(de caresses+d'alcool)"
"272";"-";"-";"-";"<E>";"siphonner";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"~";"-";"-";"-";"-";"<E>";"<E>";"siphon";"Max a siphonné le réservoir d'une partie de l'essence"
"273";"-";"+";"-";"<E>";"soulager";"+";"-";"+";"-";"+";"-";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"~";"-";"+";"+";"+";"<E>";"<E>";"<E>";"Max a soulagé l'étagère de quelques livres"
"274";"~";"~";"~";"<E>";"soulager";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"On a soulagé Max de(100F+son portefeuille)"
"275";"-";"+";"-";"<E>";"spolier";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"~";"-";"-";"-";"+";"<E>";"<E>";"<E>";"Max a spolié Ida de ses biens"
"276";"-";"+";"-";"<E>";"sucer";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"+";"-";"-";"+";"<E>";"<E>";"<E>";"Max a sucé trois bouteilles"
"277";"~";"~";"~";"<E>";"tailler";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max a taillé l'arbre de branches mortes"
"278";"-";"-";"-";"<E>";"tamiser";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"~";"-";"-";"-";"-";"<E>";"<E>";"tamis";"Max a tamisé la farine de ses impuretés"
"279";"~";"~";"~";"<E>";"tamponner";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max tamponne son front de la sueur"
"280";"-";"+";"-";"<E>";"taper";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"~";"+";"-";"-";"-";"<E>";"<E>";"<E>";"Max tape Luc de 100 francs"
"281";"-";"-";"+";"<E>";"tarir";"+";"-";"-";"-";"+";"-";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"L'été a tari la source de son eau"
"282";"-";"+";"-";"<E>";"téter";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"+";"-";"-";"-";"<E>";"<E>";"<E>";"Max tète le sein maternel de tout son lait"
"283";"-";"+";"-";"<E>";"tondre";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"+";"-";"-";"-";"<E>";"<E>";"<E>";"Le fisc a tondu Max de 10 millions"
"284";"~";"~";"~";"<E>";"tondre";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Léa a tondu le mouton de toute sa laine"
"285";"-";"-";"-";"<E>";"torcher";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a torché la poêle de tout le gras"
"286";"~";"~";"~";"<E>";"torchonner";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max a torchonné les verres(E+de la poussière)"
"287";"~";"~";"~";"<E>";"tordre";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Ida tord le linge de toute l'eau"
"288";"-";"-";"-";"<E>";"traire";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"+";"-";"-";"-";"<E>";"<E>";"<E>";"Max a trait la vache de tout son lait"
"289";"-";"-";"-";"<E>";"tronquer";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"-";"+";"-";"-";"<E>";"<E>";"<E>";"Max a tronqué son texte de quelques lignes"
"290";"+";"+";"-";"<E>";"truander";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"~";"+";"-";"-";"-";"truand";"<E>";"<E>";"Max a truandé Léa de cent francs"
