"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Nnr";"N0 =: V-inf W";"N0 être V-n";"<ENT>Ppv";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: le figé";"Ppv =: y figé";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"Prép1";"thèmeN1";"N0 V";"N0 être V-ant";"N0 être Vpp";"N0pc lui V W";"N0 V de N0pc";"N1 =: Nhum";"N0 lui V Prép N1pc";"N0 V Prép N0pc";"N1 =: N-hum";"N1 =: Qu Pind";"N1 =: Qu Psubj";"N1 =: V0-inf W";"N1 =: le fait Qu P";"Ppv =: y";"Ppv =: en";"N0 (E+Ppv) V (Prép+Prép-adv)";"N1 être V-n";"N1 =: Npl obl";"N0 V de N0pc W";"N0hum V W sur ce point";"N0 être V-ant Prép N1";"[extrap]";"N0 être V-n (forme V-n)";"N1 être V-n (forme V-n)";"<OPT>"
"174";"~";"~";"~";"~";"~";"s'";"+";"-";"-";"-";"-";"énamourer";"-";"-";"+";"de";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Tristan s' énamoura d'Iseult"
"175";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"enchaîner";"-";"+";"-";"sur";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a enchaîné sur un nouveau (sujet+travail)"
"176";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"enchérir";"-";"+";"-";"de";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a enchéri de 100 f. sur l'offre précédente"
"177";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"enchérir";"-";"+";"-";"sur";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Ida enchérit sur (E+la remarque de) Luc"
"178";"~";"~";"~";"~";"~";"s'";"+";"-";"-";"-";"-";"endormir";"-";"-";"+";"sur";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max s' endort sur (son travail+sa thèse)"
"179";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"enferrer";"-";"+";"-";"dans";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max s' enferre dans ses contradictions"
"180";"+";"-";"-";"-";"-";"s'";"+";"-";"-";"-";"-";"ennuyer";"-";"-";"+";"de";"<E>";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max s' ennuie d'Ida"
"181";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"enquêter";"-";"+";"-";"sur";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Luc enquête sur un meurtre"
"182";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"entamer";"-";"+";"-";"de";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Paul a entamé (le+du)roi de Pique"
"183";"+";"-";"-";"-";"-";"s'y";"+";"-";"-";"+";"-";"entendre";"-";"-";"+";"en";"mécanique";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Max s'y entend en maths"
"184";"+";"+";"+";"-";"-";"<E>";"-";"-";"-";"-";"-";"entrer";"-";"-";"+";"en";"religion";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max entre en(religion+seconde)"
"185";"+";"-";"-";"-";"-";"n'";"-";"-";"-";"-";"+";"entrer";"+";"-";"+";"dans";"détails";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"Max n' entre pas dans votre point de vue"
"186";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"épiloguer";"-";"+";"-";"sur";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a épilogué sur la fin de la civilisation"
"187";"+";"-";"-";"-";"-";"s'";"+";"-";"-";"-";"-";"éprendre";"-";"-";"+";"de";"<E>";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Paul s'est épris (de Léa+de cinéma)"
"188";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"espérer";"-";"+";"-";"en";"<E>";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Max espère en la venue du messie"
"189";"+";"-";"-";"-";"-";"s'";"+";"-";"-";"-";"-";"étendre";"-";"-";"+";"sur";"sujet";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Max s' étend trop sur ce sujet"
"190";"~";"~";"~";"~";"~";"s'";"+";"-";"-";"-";"-";"étendre";"-";"-";"+";"sur";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Cette révolution s' étend (sur 3 ans+jusqu'en 1730)"
"191";"+";"-";"-";"-";"-";"s'";"+";"-";"-";"-";"-";"étouffer";"-";"-";"+";"devant";"autorité";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"Max s' étouffe devant son chef"
"192";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"être";"-";"+";"-";"contre+pour";"maladie";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Ce médicament est (contre+pour) la toux"
"193";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"être";"-";"+";"-";"avec";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max est avec les râleurs"
"194";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"être";"-";"+";"-";"contre";"décision";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Max est (contre+pour) (Luc+le vin)"
"195";"+";"+";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"être";"-";"+";"-";"de";"époque";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max est de juillet"
"196";"+";"-";"-";"-";"-";"en";"-";"+";"-";"-";"-";"être";"-";"+";"-";"de";"Dnum francs";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Max en est de cent francs dans cette histoire"
"197";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"être";"-";"+";"-";"pour";"décision";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Je suis pour partir de bonne heure"
"198";"+";"-";"-";"-";"-";"en";"-";"+";"-";"-";"-";"être";"-";"+";"-";"pour";"son argent";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Max en est pour sa peine"
"199";"+";"+";"+";"+";"-";"n'";"-";"+";"-";"-";"+";"être";"+";"+";"-";"sans";"<E>";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Paul n'est pas sans craindre un contrôle"
"200";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"être Advt";"-";"+";"-";"après";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Ida est toujours après Luc"
"201";"+";"+";"+";"+";"-";"<E>";"-";"-";"-";"-";"-";"évoluer";"-";"+";"-";"vers";"issue";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"La maladie évolue (E+vers)un mieux"
"202";"~";"~";"~";"~";"~";"s'";"+";"-";"-";"-";"-";"excuser";"-";"-";"+";"pour";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Je m' excuse pour mon retard"
"203";"-";"+";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"exploser";"-";"+";"-";"en";"morceaux";"+";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"<E>";"<E>";"Le tonneau explosa en mille morceaux"
"204";"+";"-";"-";"-";"-";"s'";"+";"-";"-";"-";"-";"exprimer";"-";"-";"+";"en";"anglais";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"Max s' exprime en anglais"
"205";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"faire";"-";"+";"-";"dans";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max fait dans (le diamant+l'humour noir)"
"206";"+";"-";"-";"-";"-";"s'en";"+";"+";"~";"-";"-";"faire";"-";"-";"+";"pour";"<E>";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Paul s'en fait pour son fils"
"207";"+";"-";"-";"-";"-";"se";"+";"-";"-";"-";"-";"fendre";"-";"-";"+";"de";"cadeau";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max s'est fendu d'un beau cadeau"
"208";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"festoyer";"-";"+";"-";"de";"nourriture";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a festoyé de forces chapons"
"209";"+";"-";"-";"-";"-";"se";"+";"-";"-";"-";"-";"ficher";"-";"-";"+";"de";"<E>";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"Max se fiche de(E+la gueule de)Ida"
"210";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"finasser";"-";"+";"-";"avec";"loi";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Max finasse avec le(règlement+percepteur)"
"211";"+";"+";"+";"+";"-";"en";"-";"+";"-";"-";"-";"finir";"-";"+";"-";"avec";"<E>";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Max en a fini avec(Luc+le rangement)"
"212";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"flasher";"-";"+";"-";"pour";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Paul a flashé pour Marie"
"213";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"flasher";"-";"+";"-";"sur";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Paul a flashé sur Marie"
"214";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"fléchir";"-";"+";"-";"devant";"<E>";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"Max fléchit devant(la jeunesse d'Ida+les difficultés)"
"215";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"forcer";"-";"+";"-";"sur";"boisson";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max force sur le vin"
"216";"~";"~";"~";"~";"~";"se";"+";"-";"-";"-";"-";"fouiller";"-";"-";"+";"pour";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Paul s'est fouillé pour(ce travail+faire ça+sur ce point)"
"217";"+";"-";"-";"-";"-";"se";"+";"-";"-";"-";"-";"fouler";"-";"-";"+";"pour";"travail";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Max s'est foulé pour ce travail"
"218";"-";"+";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"fourcher";"-";"+";"-";"en";"branches";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"Le chemin fourche en deux branches"
"219";"+";"-";"-";"-";"-";"se";"+";"-";"-";"-";"-";"foutre";"-";"-";"+";"de";"<E>";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"Max se fout (E+de la gueule)de Luc"
"220";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"fricoter";"-";"+";"-";"dans";"politique";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max fricote dans l'immobilier"
"221";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"fuir";"-";"+";"-";"devant";"problème";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Max fuit devant(ses responsabilités+Ida)"
"222";"-";"+";"+";"+";"-";"<E>";"-";"-";"-";"-";"-";"gagner";"-";"+";"-";"en";"qualité";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Ce vin a gagné en qualité"
"223";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"galoper";"-";"+";"-";"après";"emploi";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Max galope après(un emploi+les femmes)"
"224";"+";"-";"-";"-";"+";"se";"+";"-";"-";"-";"-";"gendarmer";"-";"-";"+";"contre";"<E>";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"gendarme";"<E>";"Max se gendarme contre les abus"
"225";"+";"+";"+";"-";"+";"ne se";"+";"-";"-";"-";"+";"gêner";"+";"-";"+";"pour";"<E>";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"gêne";"<E>";"La pluie ne se gêne pas pour tomber"
"226";"+";"+";"+";"+";"-";"<E>";"-";"-";"-";"-";"-";"glisser";"-";"+";"-";"sur";"détail";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Max a glissé sur l'absence de Léa"
"227";"+";"-";"-";"-";"-";"se";"+";"-";"-";"-";"-";"goberger";"-";"-";"+";"de";"nourriture";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max s'est gobergé de choucroute"
"228";"+";"-";"-";"-";"-";"se";"+";"-";"-";"-";"-";"gourer";"-";"-";"+";"de";"<E>";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Max s'est gouré de(réponse+train)"
"229";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"goûter";"-";"+";"-";"de";"<E>";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Goûte un peu de ce saucisson"
"230";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"goûter";"-";"+";"-";"de";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a goûté de la prison"
"231";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"goûter";"-";"+";"-";"de";"nourriture";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"<E>";"goûter";"Max a goûté d'une tartine"
"232";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"gratter";"-";"+";"-";"de";"instrument";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"Max gratte de la guitare"
"233";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"grignoter";"-";"+";"-";"sur";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Grignoter un peu d'argent sur une opération"
"234";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"gueuletonner";"-";"+";"-";"de";"nourriture";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"<E>";"gueuleton";"Max a gueuletonné d'une choucroute"
"235";"+";"-";"-";"-";"-";"se";"+";"-";"-";"-";"-";"guider";"-";"-";"+";"sur";"étoiles";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"+";"<E>";"guide";"Max se guide sur les étoiles"
"236";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"guigner";"-";"+";"-";"sur";"<E>";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"<E>";"<E>";"Max guigne sur le jeu de Luc"
"237";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"hériter";"-";"+";"-";"de";"maison";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"<E>";"héritage";"Max a hérité d'une maison"
"238";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"hésiter";"-";"+";"-";"entre";"Dnum solutions";"+";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"<E>";"<E>";"Max hésite entre ces deux plats"
"239";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"hésiter";"-";"+";"-";"sur";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max hésite sur l'orthographe de ce mot"
"240";"~";"~";"~";"~";"~";"se";"+";"-";"-";"-";"-";"hisser";"-";"-";"+";"sur";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Léa se hisse sur la pointe des pieds"
"241";"+";"-";"-";"-";"-";"s'";"+";"-";"-";"-";"-";"humilier";"-";"-";"+";"devant";"<E>";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"Paul s'est humilié devant la vierge"
"242";"~";"~";"~";"~";"~";"s'";"+";"-";"-";"-";"-";"illusionner";"-";"-";"+";"sur";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max s' illusionne sur l'amour de Marie"
"243";"+";"-";"-";"-";"-";"s'";"+";"-";"-";"-";"-";"illustrer";"-";"-";"+";"dans";"domaine";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Max s'est illustré (au combat+dans cette affaire)"
"244";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"improviser";"-";"+";"-";"sur";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max fait une improvision "
"245";"+";"-";"-";"-";"-";"s'";"+";"-";"-";"-";"-";"incliner";"-";"-";"+";"devant";"force";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"Max s' incline devant le décision collective"
"246";"+";"-";"-";"-";"-";"s'";"+";"-";"-";"-";"-";"informer";"-";"-";"+";"sur";"sujet";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"Max s' informe sur le prix du lait"
"247";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"innover";"-";"+";"-";"en";"chimie";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Max a innové en chimie"
"248";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"insister";"-";"+";"-";"sur";"sujet";"+";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"<E>";"<E>";"Max insiste sur l'importance de ce fait"
"249";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"intercéder";"-";"+";"-";"auprès de";"<E>";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"Max intercède (en faveur+pour)Léa auprès de Luc"
"250";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"invectiver";"-";"+";"-";"contre";"<E>";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max invective contre(Léa+les abus)"
"251";"+";"-";"-";"-";"-";"se";"+";"-";"-";"-";"-";"jeter";"-";"-";"+";"sur";"<E>";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max s'est jeté sur(Ida+son steak)"
"252";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"jongler";"-";"+";"-";"avec";"qqch";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"<E>";"<E>";"Max jongle avec(des pommes+les idées)"
"253";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"jouer";"-";"+";"-";"pour";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Cette clause joue pour le suicide"
"254";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"jouer";"-";"+";"-";"avec";"cubes";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Ida joue avec des cubes"
"255";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"jouer";"-";"+";"-";"avec";"santé";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"<E>";"jeu";"Luc joue avec(sa santé+ses nerfs)"
"256";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"jouer";"-";"+";"-";"de";"instrument";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Luc joue de la guitare"
"257";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"jouer";"-";"+";"-";"de";"couteau";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Luc joue du couteau"
"258";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"jouer";"-";"+";"-";"sur";"or";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Luc joue sur les cours de l'or"
"259";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"jouer";"-";"+";"-";"avec";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max joue avec ses bagues"
"260";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"jouer";"-";"+";"-";"sur";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max joue sur la hausse du cacao"
