"<ID>";"N0 lieu source de N1";"N0 lieu de destination de N1";"N1 V W";"N2 V N1";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"N0 dé-V N1 Prép N2 source";"N0 dé-V N1 Loc N3 nv-dest";"N0 V N0pc W";"N0 V N1 sur N1pc";"N1 être V-n";"N1 =: coup";"N1 =: trou";"N0 V N2 (E+de N1)";"Loc N2 =: dans N2 destination";"Loc N2 =: sur N2 destination";"Loc N2 =: contre N2 destination";"Loc N2 =: à N2 destination";"Loc N2 =: autour de N2 destination";"Loc N2 =: vers N2 destination";"Ppv =: y";"N2 être V-n";"de combien ?";"Loc N2 =: sur lui1-même";"N1 être Vpp (statique)";"N1 =: Qu P métaphore";"à Nhum destination";"à Nhum =: Loc Npc";"N1 =: mot, N2 =: texte";"N1 =: idée, N2 =: esprit";"N0 V N1abs Loc N2abs";"N0 V N1hum Loc N2abs";"N1 être V-n (forme V-n)";"N2 être V-n (forme V-n)";"<OPT>"
"191";"-";"-";"-";"-";"<E>";"incruster";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"<E>";"<E>";"Max a incrusté des rubis dans le diadème"
"192";"-";"-";"+";"-";"<E>";"infiltrer";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"<E>";"<E>";"On infiltre de l'aspirine dans l'articulation"
"193";"-";"-";"-";"-";"<E>";"injecter";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"<E>";"<E>";"Max a injecté du sérum dans la veine"
"194";"-";"-";"-";"-";"<E>";"inoculer";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"<E>";"<E>";"On a inoculé à Max ce vaccin dans la fesse"
"195";"-";"-";"-";"+";"<E>";"inscrire";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"+";"+";"+";"-";"<E>";"<E>";"Max a inscrit le triangle dans un cercle"
"196";"-";"-";"-";"-";"<E>";"insérer";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"+";"+";"+";"+";"<E>";"<E>";"Max a inséré une fiche dans ce livre"
"197";"-";"-";"-";"-";"<E>";"insinuer";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"+";"<E>";"<E>";"Max insinue sa main dans l'ouverture"
"198";"-";"-";"-";"-";"<E>";"installer";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"+";"<E>";"<E>";"Max a installé Léa sur une chaise"
"199";"-";"-";"-";"-";"<E>";"instiller";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"<E>";"<E>";"Max instille des gouttes dans son oeil"
"200";"+";"-";"-";"-";"<E>";"insuffler";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"<E>";"<E>";"Max insuffle de l'oxygène dans les poumons de Luc"
"201";"-";"-";"-";"+";"<E>";"intégrer";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Jo a intégré cet appareil dans son système"
"202";"-";"-";"-";"-";"<E>";"intercaler";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"+";"+";"+";"+";"<E>";"<E>";"Max a intercalé des cartons(dans la pile+entre les livres)"
"203";"~";"~";"~";"~";"<E>";"internaliser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"L'économiste internalise les frais dans le coût de la production"
"204";"-";"-";"-";"-";"<E>";"interpoler";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"+";"+";"+";"-";"<E>";"<E>";"Max a interpolé des gloses dans le texte"
"205";"-";"-";"-";"-";"<E>";"interposer";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"On interpose un filtre entre l'optique et la pellicule"
"206";"-";"-";"-";"-";"<E>";"introduire";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"+";"<E>";"<E>";"Max introduit la clé dans la serrure"
"207";"+";"-";"-";"-";"<E>";"investir";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a investi de l'argent dans cette affaire"
"208";"+";"-";"-";"-";"<E>";"jeter";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max jette la balle(dans le panier+à Luc)"
"209";"-";"-";"-";"-";"<E>";"jeter";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"<E>";"<E>";"Max a jeté la serviette sur le lit"
"210";"+";"-";"-";"-";"<E>";"jeter";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"<E>";"<E>";"Max a jeté son avion contre la falaise"
"211";"~";"~";"~";"~";"<E>";"joindre";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a joint un timbre à sa réponse"
"212";"-";"-";"-";"-";"<E>";"jucher";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a juché le vase sur l'armoire"
"213";"+";"-";"-";"-";"<E>";"lâcher";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"+";"-";"+";"+";"+";"+";"<E>";"<E>";"Max a lâché une bombe sur Gap"
"214";"~";"~";"~";"~";"<E>";"laisser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a laissé sa valise à la consigne"
"215";"~";"~";"~";"~";"<E>";"laisser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Le choc a laissé une marque sur la surface"
"216";"+";"-";"-";"-";"<E>";"lancer";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"+";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"+";"<E>";"<E>";"Max lance la balle dans le panier"
"217";"-";"-";"-";"-";"<E>";"laquer";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"laque";"<E>";"Max a laqué une couche de laque sur le meuble"
"218";"+";"-";"-";"-";"<E>";"larguer";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"<E>";"<E>";"Max a largué le container dans la clairière"
"219";"-";"-";"+";"+";"<E>";"loger";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"<E>";"logement";"Max loge une balle dans le croûton de pain"
"220";"-";"-";"-";"+";"<E>";"masquer";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"<E>";"masque";"Max a masqué le lavabo derrière un paravent"
"221";"~";"~";"~";"~";"<E>";"mémoriser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"On mémorise les résultats dans un buffer"
"222";"+";"-";"-";"-";"<E>";"mettre";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"<E>";"<E>";" mette la lettre dans la boîte"
"223";"-";"-";"+";"-";"<E>";"mouiller";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"On a mouillé les mines sur le fond"
"224";"-";"-";"-";"+";"<E>";"mouliner";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"moulin";"Max mouline le fil sur le tambour"
"225";"~";"~";"~";"~";"<E>";"naturaliser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"L'horticulteur naturalise en France de nouvelles plantes"
"226";"~";"~";"~";"~";"<E>";"nébuliser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max nébulise de l'insecticide sur les fleurs"
"227";"-";"-";"-";"-";"<E>";"nicher";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"+";"+";"<E>";"niche";"Max niche la valise en haut de l'armoire"
"228";"-";"-";"-";"-";"<E>";"nomenclaturer";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"<E>";"nomenclature";"Max a nomenclaturé cet élément dans cette classe"
"229";"-";"-";"-";"+";"<E>";"noyer";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Max a noyé le pieu dans du béton"
"230";"~";"~";"~";"~";"<E>";"orbiter";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"On a orbité ce satellite sur une orbite haute"
"231";"-";"-";"-";"-";"<E>";"parquer";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"+";"+";"+";"-";"<E>";"parking";"Max se parque en stationnement interdit"
"232";"-";"-";"-";"-";"<E>";"peindre";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"peinture";"<E>";"Max a peint une scène sur ce tableau"
"233";"-";"-";"-";"-";"<E>";"pelleter";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a pelleté la terre dans le trou"
"234";"-";"-";"-";"-";"<E>";"peloter";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max pelote du fil sur le mandrin"
"235";"-";"-";"+";"-";"<E>";"pendre";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"Max a pendu le jambon à la poutre"
"236";"-";"-";"-";"-";"<E>";"percer";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a percé des trous dans la planche"
"237";"-";"-";"+";"-";"<E>";"percher";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"+";"+";"+";"<E>";"<E>";"Max a perché le vase sur l'armoire"
"238";"-";"-";"-";"-";"<E>";"perforer";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a perforé un trou dans le billet"
"239";"-";"-";"-";"-";"<E>";"piquer";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"?";"Max a piqué sa fourchette dans un morceau de viande"
"240";"-";"-";"-";"-";"<E>";"piquer";"+";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"?";"<E>";"Max a piqué une photo au mur"
"241";"-";"-";"-";"-";"<E>";"placarder";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"placardage";"<E>";"Max a placardé des affiches sur le mur"
"242";"-";"-";"-";"-";"<E>";"placer";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a placé la bouteille sur la table"
"243";"-";"-";"-";"-";"<E>";"placer";"+";"-";"+";"+";"+";"+";"-";"+";"+";"-";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"+";"+";"+";"+";"<E>";"placement";"Max a placé de l'argent dans le textile"
"244";"-";"-";"-";"+";"<E>";"planquer";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"<E>";"planque";"Max a planqué sa voiture derrière les arbres"
"245";"-";"-";"-";"-";"<E>";"planter";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"plant";"<E>";"Mac a planté (un arbre+du blé)dans son parc"
"246";"-";"-";"-";"-";"<E>";"planter";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"?";"<E>";"Max a planté des clous dans la planche"
"247";"-";"-";"-";"-";"<E>";"plaquer";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"?";"<E>";"Max a plaqué l'affiche contre le mur"
"248";"-";"-";"+";"-";"<E>";"plaquer";"+";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"placage";"<E>";"Max a plaqué l'acajou sur l'armoire"
"249";"~";"~";"~";"~";"<E>";"plomber";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a plombé sa boule prés du cochonnet"
"250";"-";"-";"+";"-";"<E>";"plonger";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"<E>";"<E>";"Max plonge la main dans le sac"
"251";"~";"~";"~";"~";"<E>";"pocher";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Bob a poché la boule verte dans la poche"
"252";"~";"~";"~";"~";"<E>";"porter";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Luc porte sa signature sur le document"
"253";"~";"~";"~";"~";"<E>";"porter";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max porte la valise dans la voiture"
"254";"~";"~";"~";"~";"<E>";"porter";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"On a porté la température à 100°"
"255";"-";"-";"-";"-";"<E>";"poser";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"Max a posé le sac sur la table"
"256";"+";"-";"-";"-";"<E>";"poser";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a posé une serrure(à+sur)cette porte"
"257";"-";"-";"-";"-";"<E>";"poser";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"<E>";"<E>";"Max a posé la fusée sur la piste 4"
"258";"-";"-";"-";"-";"<E>";"positionner";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"position";"position";"Max positionne le moteur sur son support"
"259";"+";"-";"-";"-";"<E>";"poster";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"<E>";"poste";"Max a posté une lettre"
"260";"-";"-";"-";"-";"<E>";"postposer";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"<E>";"<E>";"Luc a postposé le pronom derrière l'adverbe"
"261";"-";"-";"-";"-";"<E>";"poursuivre";"+";"-";"-";"-";"~";"~";"-";"~";"~";"-";"+";"-";"-";"-";"~";"+";"+";"-";"~";"~";"-";"~";"~";"~";"-";"-";"-";"-";"<E>";"<E>";"Max poursuit Ida dans le jardin"
"262";"~";"~";"~";"~";"<E>";"pousser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max pousse la chaise contre le mur"
"263";"~";"~";"~";"~";"<E>";"précipiter";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max précipite le vase contre le mur"
"264";"-";"-";"-";"+";"<E>";"presser";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a pressé tout le jus du citron dans un verre"
"265";"-";"-";"-";"+";"<E>";"programmer";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"programme";"programme";"Guy a programmé ce numéro(à 3 heures+dans son spectacle)"
"266";"~";"~";"~";"~";"<E>";"projeter";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Eva a projeté le vase sur le sol"
"267";"~";"~";"~";"~";"<E>";"propager";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Ces migrations ont propagé l'épidémie dans les pays voisins"
"268";"-";"-";"-";"-";"<E>";"pulvériser";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"Max a pulvérisé de la peinture sur le mur"
"269";"-";"-";"-";"-";"<E>";"punaiser";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a punaisé une photo au mur"
"270";"-";"-";"-";"-";"<E>";"rajouter";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"+";"-";"ajout";"<E>";"Max a rajouté du sel dans la soupe"
"271";"~";"~";"~";"~";"<E>";"ramener";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a ramené la voiture à la maison"
"272";"-";"-";"-";"-";"<E>";"ranger";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Bob range sa montre dans le tiroir"
"273";"-";"-";"-";"-";"<E>";"ranger";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max range sa voiture sur le bas-côté"
"274";"-";"-";"-";"-";"<E>";"rapporter";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a rapporté une bande de tissu à la robe"
"275";"~";"~";"~";"~";"<E>";"reconduire";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Bob a reconduit Léa jusqu'à la grille"
"276";"~";"~";"~";"~";"<E>";"recopier";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a recopié ceci sur sa feuille"
"277";"~";"~";"~";"~";"<E>";"recoudre";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"On a recousu le bouton sur la chemise"
"278";"-";"+";"-";"+";"<E>";"recueillir";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"<E>";"<E>";"Max recueille l'eau de pluie dans une citerne"
"279";"~";"~";"~";"~";"<E>";"recueillir";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max recueille les avantages de l'opération"
"280";"-";"-";"-";"-";"<E>";"recycler";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"<E>";"cycle";"On recycle le verre usé dans le circuit industriel"
"281";"~";"~";"~";"~";"<E>";"refouler";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Cette pompe refoule l'eau dans un réservoir"
"282";"-";"-";"-";"-";"<E>";"regreffer";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"-";"greffe";"<E>";"On a regreffé un index à la main droite de Max"
"283";"+";"-";"-";"-";"<E>";"réintroduire";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"+";"-";"<E>";"<E>";"On a réintroduit dans la société l'idée de patrie"
"284";"~";"~";"~";"~";"<E>";"réinvestir";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a réinvesti son héritage dans l'immobilier"
"285";"~";"~";"~";"~";"<E>";"rejeter";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Cette machine rejette la terre sur le talus"
"286";"+";"-";"-";"-";"<E>";"relancer";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a relancé la balle dans le panier"
"287";"-";"-";"-";"-";"<E>";"reléguer";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"+";"+";"+";"+";"<E>";"<E>";"Max a relégué son fusil dans l'armoire"
