"<ID>";"N0 être V-n";"<ENT>Ppv";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: le figé";"Ppv =: la figé";"Ppv =: y figé";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"N0 être V-ant";"N0 être Vpp";"N0pc lui V W";"N0 V de N0pc";"N0hum V W sur ce point";"N0 V vers N";"[extrap]";"N0idée V Loc N1esprit";"N0hum V Loc Nabs";"N0 =: N-hum métaphore";"N0 être V-n (forme V-n)";"<OPT>";"<ENGLISH>"
"279";"~";"<E>";"-";"-";"-";"-";"-";"-";"giguer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Les invités giguent ";"?"
"280";"+";"<E>";"-";"-";"-";"-";"-";"-";"girouetter";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"girouette";"Max girouette ";"to change one's mind"
"281";"-";"<E>";"-";"-";"-";"-";"-";"-";"glander";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Max glande dans les environs";"to hang around"
"282";"-";"<E>";"-";"-";"-";"-";"-";"-";"glandouiller";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Max glandouille ";"to hang around"
"283";"-";"<E>";"-";"-";"-";"-";"-";"-";"gloser";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"Max glose sur ses collègues";"to ramble on"
"284";"~";"<E>";"-";"-";"-";"-";"-";"-";"gloutonner";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max gloutonne ";"?"
"285";"~";"<E>";"-";"-";"-";"-";"-";"-";"goder";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max gode en voyant ce spectacle";"to have a hard-on"
"286";"~";"se";"+";"-";"-";"-";"-";"-";"goder";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Lea se gode tous les soirs";"to use a sextoy"
"287";"~";"<E>";"-";"-";"-";"-";"-";"-";"golfer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Hubert golfe à Neuilly";"to practice golf"
"288";"-";"<E>";"-";"-";"-";"-";"-";"-";"gouailler";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Max gouaille ";"to be cocky"
"289";"-";"se";"+";"-";"-";"-";"-";"-";"gourer";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"Max s'est gouré (E+dans son addition+sur ce point)";"?"
"290";"~";"<E>";"-";"-";"-";"-";"-";"-";"grailler";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"(Paul+sa voix) graille ";"?"
"291";"~";"<E>";"-";"-";"-";"-";"-";"-";"grandir";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Les enfants grandissent ";"to grow up"
"292";"~";"<E>";"-";"-";"-";"-";"-";"-";"gratter";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Paul a gratté ce week-end";"?"
"293";"-";"<E>";"-";"-";"-";"-";"-";"-";"grelotter";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"<E>";"Max grelotte de(froid+peur)";"to shiver"
"294";"~";"<E>";"-";"-";"-";"-";"-";"-";"grenouiller";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max grenouille dans l'immobilier";"?"
"295";"-";"<E>";"-";"-";"-";"-";"-";"-";"grimacer";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"Max grimace ";"to grimace"
"296";"-";"<E>";"-";"-";"-";"-";"-";"-";"grincher";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"Max grinche ";"to be grumpy"
"297";"~";"<E>";"-";"-";"-";"-";"-";"-";"griveler";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max grivèle souvent";"?"
"298";"~";"se";"+";"-";"-";"-";"-";"-";"grouper";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"L'athlète se groupe ";"?"
"299";"~";"<E>";"-";"-";"-";"-";"-";"-";"hâbler";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max hâble beaucoup";"?"
"300";"~";"<E>";"-";"-";"-";"-";"-";"-";"haleter";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Les spectateurs halètent pendant le suspense";"?"
"301";"-";"se";"+";"-";"-";"-";"-";"-";"hâter";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"<E>";"Max se hâte vers la sortie";"?"
"302";"-";"<E>";"-";"-";"-";"-";"-";"-";"herboriser";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Max herborise souvent";"to collect plants"
"303";"-";"<E>";"-";"-";"-";"-";"-";"-";"hiberner";"-";"+";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"+";"<E>";"La marmotte hiberne plusieurs mois";"to hibernate"
"304";"~";"<E>";"-";"-";"-";"-";"-";"-";"histrionner";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max histrionne souvent devant les autres";"?"
"305";"+";"<E>";"-";"-";"-";"-";"-";"-";"houler";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"houle";"La foule houlait ";"to be tumultuous"
"306";"~";"<E>";"-";"-";"-";"-";"-";"-";"huer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Le béton hue ";"?"
"307";"~";"<E>";"-";"-";"-";"-";"-";"-";"hydrater";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max s'est hydraté ";"?"
"308";"~";"<E>";"-";"-";"-";"-";"-";"-";"imbiber";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Paul a tendance à s' imbiber ";"?"
"309";"-";"n'";"-";"-";"-";"-";"-";"+";"insister";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"Max n'a pas insisté ";"?"
"310";"-";"en";"-";"+";"-";"-";"-";"-";"installer";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"Ce personnage en installe ";"?"
"311";"~";"<E>";"-";"-";"-";"-";"-";"-";"instrumenter";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Le notaire instrumente (E+dans cette affaire)";"?"
"312";"~";"s'";"+";"-";"-";"-";"-";"-";"interroger";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max s' interroge sur la bonne foi de Luc";"?"
"313";"-";"<E>";"-";"-";"-";"-";"-";"-";"intervenir";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"<E>";"Le chirurgien interviendra ";"?"
"314";"-";"s'";"+";"-";"-";"-";"-";"-";"introspecter";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"<E>";"Max s' introspecte (E+sur son attitude)";"?"
"315";"-";"<E>";"-";"-";"-";"-";"-";"-";"ironiser";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"Max ironise sur sa prose";"to be ironic about"
"316";"-";"<E>";"-";"-";"-";"-";"-";"-";"itinérer";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"Max itinère en France";"to travel"
"317";"~";"s'";"+";"-";"-";"-";"-";"-";"ivrogner";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max s'est ivrogné hier";"?"
"318";"-";"<E>";"-";"-";"-";"-";"-";"-";"jardiner";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"<E>";"Max jardine ";"to garden"
"319";"~";"<E>";"-";"-";"-";"-";"-";"-";"jazzer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Bob jazze au 'New morning'";"?"
"320";"~";"<E>";"-";"-";"-";"-";"-";"-";"jerker";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Paul jerke ";"?"
"321";"~";"<E>";"-";"-";"-";"-";"-";"-";"jésuiter";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Paul jésuite ";"?"
"322";"-";"<E>";"-";"-";"-";"-";"-";"-";"jeûner";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Max jeûne ";"to go without food"
"323";"~";"<E>";"-";"-";"-";"-";"-";"-";"jobarder";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Paul jobarde tout le temps";"?"
"324";"~";"<E>";"-";"-";"-";"-";"-";"-";"jogger";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Paul jogge le dimanche";"?"
"325";"~";"<E>";"-";"-";"-";"-";"-";"-";"jouer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"L'enfant joue ";"to play"
"326";"-";"<E>";"-";"-";"-";"-";"-";"-";"jouir";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"<E>";"Ida jouit (E+à pleine culotte)";"to come"
"327";"~";"<E>";"-";"-";"-";"-";"-";"-";"jurer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max jure (E+après Luc+contre)";"?"
"328";"-";"<E>";"-";"-";"-";"-";"-";"-";"laïusser";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"Max laïusse sur ce point";"to expatiate"
"329";"-";"<E>";"-";"-";"-";"-";"-";"-";"lanterner";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"<E>";"Max lanternait depuis une heure";"to dawdle"
"330";"+";"<E>";"-";"-";"-";"-";"-";"-";"lapiner";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"lapin";"Notre mascotte a lapiné ";"to litter"
"331";"+";"<E>";"-";"-";"-";"-";"-";"-";"lézarder";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"lézard";"Max lézarde au soleil";"to bask in the sun"
"332";"~";"<E>";"-";"-";"-";"-";"-";"-";"lire";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Les enfants lisent à 8 ans";"to be able to read"
"333";"~";"se";"+";"-";"-";"-";"-";"-";"livrer";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max ne se livre pas facilement";"?"
"334";"-";"<E>";"-";"-";"-";"-";"-";"-";"loucher";"-";"+";"-";"+";"-";"-";"+";"-";"+";"+";"-";"-";"-";"<E>";"Flo louche (E+de l'oeil droit)";"to squint"
"335";"-";"se";"+";"-";"-";"-";"-";"-";"louper";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"Max s'est loupé ";"?"
"336";"~";"ne";"-";"-";"-";"-";"-";"+";"louper";"+";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max n'a pas loupé Ida";"?"
"337";"~";"<E>";"-";"-";"-";"-";"-";"-";"lutter";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max lutte aux jeux olympiques";"?"
"338";"~";"<E>";"-";"-";"-";"-";"-";"-";"magasiner";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Carmen magasine chez Eaton";"?"
"339";"~";"<E>";"-";"-";"-";"-";"-";"-";"maigrir";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Flo a maigri de dix kilos";"?"
"340";"~";"<E>";"-";"-";"-";"-";"-";"-";"malchancer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max a malchancé ";"?"
"341";"-";"<E>";"-";"-";"-";"-";"-";"-";"mangeotter";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Max mangeotte ";"to nibble"
"342";"-";"<E>";"-";"-";"-";"-";"-";"-";"manifester";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Flo s'est manifestée ";"?"
"343";"-";"<E>";"-";"-";"-";"-";"-";"-";"manoeuvrer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Les soldats manoeuvrent (E+dans la plaine)";"to manoeuvre"
"344";"-";"se";"+";"-";"-";"-";"-";"-";"manquer";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"Ida s'est manquée ";"?"
"345";"~";"<E>";"-";"-";"-";"-";"-";"-";"manquer Advt";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Pau a manqué trois jours";"?"
"346";"-";"n'y";"-";"-";"-";"-";"+";"+";"manquer";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"Max n'y manque jamais ";"?"
"347";"+";"<E>";"-";"-";"-";"-";"-";"-";"maquignonner";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"maquignon";"Max maquignonne dans la politique";"to fiddle"
"348";"+";"<E>";"-";"-";"-";"-";"-";"-";"marauder";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"maraudeur";"Un taxi maraudait aux alentours";"to cruise"
"349";"~";"<E>";"-";"-";"-";"-";"-";"-";"marcher";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Le basketteur a marché ";"to travel"
"350";"-";"<E>";"-";"-";"-";"-";"-";"-";"marcher";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"<E>";"Max marche (E+vers la sortie)";"to walk"
"351";"~";"<E>";"-";"-";"-";"-";"-";"-";"marcher Advm";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Paul marche bien en Géo";"?"
"352";"~";"<E>";"-";"-";"-";"-";"-";"-";"marger Advm";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"L'industriel a beaucoup margé cette année";"?"
"353";"~";"se";"+";"-";"-";"-";"-";"-";"marier";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Paul et Marie se sont mariés ";"?"
"354";"-";"se";"+";"-";"-";"-";"-";"-";"méconduire";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"Ida s'est méconduite ";"?"
"355";"~";"<E>";"-";"-";"-";"-";"-";"-";"mélancoliser";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max mélancolise ";"?"
"356";"-";"<E>";"-";"-";"-";"-";"-";"-";"mélodramatiser";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"Max mélodramatise ";"?"
"357";"~";"<E>";"-";"-";"-";"-";"-";"-";"merder";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max a merdé (à+dans) son examen";"to fail"
"358";"~";"<E>";"-";"-";"-";"-";"-";"-";"merdouiller";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max a merdouillé sur cette question";"to get in a hell of a mess"
"359";"-";"<E>";"-";"-";"-";"-";"-";"-";"merdoyer";"-";"+";"-";"+";"-";"-";"-";"+";"-";"+";"+";"+";"+";"<E>";"Max a merdoyé sur cette question";"to get in a hell of a mess"
"360";"~";"<E>";"-";"-";"-";"-";"-";"-";"michetonner";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Ida michetonne à St Germain";"?"
"361";"+";"<E>";"-";"-";"-";"-";"-";"-";"mignarder";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"?";"Ida mignarde volontiers";"to be dainty"
"362";"~";"<E>";"-";"-";"-";"-";"-";"-";"militer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max milite (dans ce parti+au parti communiste)";"?"
"363";"-";"<E>";"-";"-";"-";"-";"-";"-";"minauder";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Ida minaude ";"to mince"
"364";"~";"<E>";"-";"-";"-";"-";"-";"-";"monétiser";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"La banque centrale monétise ";"?"
"365";"-";"<E>";"-";"-";"-";"-";"-";"-";"monter";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"<E>";"Cet acteur monte en (notoriété+grade)";"to be on the way up"
"366";"~";"<E>";"-";"-";"-";"-";"-";"-";"moraliser";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"(Cet auteur+Bob) moralise ";"?"
"367";"~";"<E>";"-";"-";"-";"-";"-";"-";"motionner";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Les députés motionnent beaucoup";"?"
"368";"-";"ne";"-";"-";"-";"-";"-";"+";"moufter";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"Max ne moufte pas ";"?"
"369";"-";"<E>";"-";"-";"-";"-";"-";"-";"mouiller";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"Flo mouille d'excitation";"to come"
"370";"~";"<E>";"-";"-";"-";"-";"-";"-";"mouliner";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Le cycliste mouline vers la ville";"?"
"371";"-";"se";"+";"-";"-";"-";"-";"-";"mourir";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"<E>";"Max se meurt  ";"?"
"372";"~";"<E>";"-";"-";"-";"-";"-";"-";"mouronner";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max mouronne ";"?"
"373";"-";"<E>";"-";"-";"-";"-";"-";"-";"muer";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"<E>";"(E+la voix de)Max a mué ";"one's voice to be breaking"
"374";"-";"<E>";"-";"-";"-";"-";"-";"-";"muer";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"<E>";"Les serpents muent ";"to slough"
"375";"~";"se";"+";"-";"-";"-";"-";"-";"multiplier";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Les lapins se multiplient rapidement";"?"
"376";"-";"<E>";"-";"-";"-";"-";"-";"-";"musarder";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"<E>";"Max musarde toute la journée";"to idle"
"377";"-";"<E>";"-";"-";"-";"-";"-";"-";"muser";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"<E>";"Clio muse toute la journée";"to idle"
"378";"-";"<E>";"-";"-";"-";"-";"-";"-";"muter";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"<E>";"Le virus de la grippe a muté ";"to mutate"
"379";"-";"<E>";"-";"-";"-";"-";"-";"-";"naître Advm";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"<E>";"Max est né (aveugle+sans bras+poète)";"?"
"380";"+";"<E>";"-";"-";"-";"-";"-";"-";"niaiser";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"niais";"Max niaise ";"to twaddle"
"381";"+";"<E>";"-";"-";"-";"-";"-";"-";"nigauder";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"nigaud";"Max nigaude ";"to twaddle"
"382";"-";"<E>";"-";"-";"-";"-";"-";"-";"nocer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Max a nocé toute la nuit";"to live it up"
"383";"~";"<E>";"-";"-";"-";"-";"-";"-";"noctambuler";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Paul noctambule tous les jours";"?"
"384";"-";"se";"+";"-";"-";"-";"-";"-";"noircir";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Max se noircit au 10,5 degrés";"?"
"385";"-";"<E>";"-";"-";"-";"-";"-";"-";"officier";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"<E>";"Max officie ";"to officiate"
"386";"-";"<E>";"-";"-";"-";"-";"-";"-";"opérer Adv";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Max opère avec méthode ";"?"
"387";"~";"<E>";"-";"-";"-";"-";"-";"-";"oublier d'être Adj";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max a oublié d'être (con+fainéant)";"?"
"388";"-";"l'";"-";"-";"-";"+";"-";"-";"ouvrir";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"Jo l'a encore ouvert à propos de Max";"?"
"389";"-";"ne l'";"-";"-";"-";"+";"-";"+";"ouvrir";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"Jo ne l'a pas ouvert de toute la soirée";"?"
"390";"~";"<E>";"-";"-";"-";"-";"-";"-";"ovuler";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"la femme ovule ";"?"
"391";"-";"se";"+";"-";"-";"-";"-";"-";"palucher";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"Max se paluche ";"?"
"392";"~";"<E>";"-";"-";"-";"-";"-";"-";"pantoufler";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max a pantouflé dans la banque";"?"
"393";"-";"<E>";"-";"-";"-";"-";"-";"-";"pantoufler";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Max a tendance à pantoufler ";"to be stay-at-home"
"394";"~";"<E>";"-";"-";"-";"-";"-";"-";"papelarder";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max a tendance à papelarder ";"?"
"395";"-";"<E>";"-";"-";"-";"-";"-";"-";"paresser";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Ida paresse volontiers";"to laze about"
"396";"-";"se";"+";"-";"-";"-";"-";"-";"parjurer";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"<E>";"Max s'est parjuré ";"?"
"397";"~";"<E>";"-";"-";"-";"-";"-";"-";"parler";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Les enfants parlent à cinq ans";"?"
"398";"-";"<E>";"-";"-";"-";"-";"-";"-";"parler";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"Max parlera (en premier+à 3 heures)";"to talk"
"399";"-";"<E>";"-";"-";"-";"-";"-";"-";"parler Advm";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"Max parle grossièrement ";"?"
"400";"~";"se";"+";"-";"-";"-";"-";"-";"particulariser";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max aime se particulariser (E+des autres)";"?"
"401";"~";"<E>";"-";"-";"-";"-";"-";"-";"partir";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Hugo est parti à 84 ans";"?"
"402";"~";"<E>";"-";"-";"-";"-";"-";"-";"partir";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Les chevaux sont partis ";"?"
"403";"~";"<E>";"-";"-";"-";"-";"-";"-";"partir";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max est parti (E+après deux whisky)";"?"
"404";"~";"<E>";"-";"-";"-";"-";"-";"-";"passer";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max est passé dans la nuit";"to die"
"405";"~";"y";"-";"-";"-";"-";"+";"-";"passer";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"10 personnes y sont passées";"?"
"406";"-";"<E>";"-";"-";"-";"-";"-";"-";"patauger";"-";"+";"-";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"<E>";"Max patauge en Maths";"to wade about"
"407";"+";"<E>";"-";"-";"-";"-";"-";"-";"pateliner";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"?";"Max pateline ";"to employ a ruse"
"408";"-";"<E>";"-";"-";"-";"-";"-";"-";"patienter";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"<E>";"Max patiente ";"to wait"
"409";"-";"<E>";"-";"-";"-";"-";"-";"-";"patoiser";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Gwen patoise ";"to speak in dialect"
"410";"-";"<E>";"-";"-";"-";"-";"-";"-";"pauser";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"<E>";"Max pause à trois heures";"to have a wait"
"411";"-";"se";"+";"-";"-";"-";"-";"-";"pavaner";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"<E>";"Max se pavane devant les filles";"?"
"412";"~";"<E>";"-";"-";"-";"-";"-";"-";"payer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max paye, avec son pantalon à fleurs";"?"
"413";"-";"s'en";"+";"+";"-";"-";"-";"-";"payer";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"Max s'en paye en ce moment";"?"
"414";"~";"le";"-";"-";"+";"-";"-";"-";"payer Pron";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max (me+nous) le paiera ";"?"
"415";"~";"<E>";"-";"-";"-";"-";"-";"-";"pédaler";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max a pédalé pour rattraper sa gaffe";"?"
"416";"~";"<E>";"-";"-";"-";"-";"-";"-";"pédaler";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max a vachement pédalé pour finir à temps";"?"
"417";"+";"<E>";"-";"-";"-";"-";"-";"-";"pédantiser";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"pédant";"Flo pédantise volontiers";"to be pedantic"
"418";"~";"se";"+";"-";"-";"-";"-";"-";"peler";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"On se pèle ici";"?"
