"<ID>";"N0 =: Nhum";"N0 =: Nnr";"N0 être V-n";"N1 V";"<ENT>Ppv";"Ppv =: se figé";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"N1 être V-n";"N0 V Nhum sur ce point";"N1 être Vpp W";"N1 =: Nconc métaphore";"N1 =: Nabs métaphore";"N0 être V-n (forme V-n)";"N1 être V-n (forme V-n)";"<OPT>";"<ENGLISH>"
"317";"~";"~";"~";"~";"<E>";"-";"-";"enterrer";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a enterré tous ses collègues";"?"
"318";"-";"-";"-";"-";"<E>";"-";"-";"entêter";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"(Les souvenirs+ces parfums) entêtent Max";"to go to the head of"
"319";"~";"~";"~";"~";"<E>";"-";"-";"entourlouper";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a entourloupé Paul sur ce point";"to play a rotten trick on"
"320";"-";"-";"-";"-";"<E>";"-";"-";"entraîner";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Ce rythme entraîne les danseurs";"to carry along"
"321";"+";"-";"-";"-";"<E>";"-";"-";"entreprendre";"-";"+";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"Ida a entrepris Max sur ce sujet";"to woo"
"322";"+";"-";"-";"-";"<E>";"-";"-";"entretenir";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Max entretient une maîtresse";"to keep"
"323";"~";"~";"~";"~";"<E>";"-";"-";"envaper";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"La coke a envapé Luc";"?"
"324";"+";"-";"-";"-";"<E>";"-";"-";"envoûter";"-";"+";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"Le mage a envoûté Bob";"to bewitch"
"325";"~";"~";"~";"~";"s'";"+";"-";"envoyer";"-";"-";"+";"~";"~";"~";"~";"~";"<E>";"<E>";"Max s' envoya une fille";"?"
"326";"~";"~";"~";"~";"<E>";"-";"-";"épanouir";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"La grossesse a épanouie Ida";"?"
"327";"~";"~";"~";"~";"<E>";"-";"-";"épargner";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a épargné |la vie|des otages";"?"
"328";"+";"-";"-";"-";"<E>";"-";"-";"épouser";"-";"+";"-";"+";"-";"-";"-";"+";"<E>";"époux";"Max a épousé Léa";"to marry"
"329";"+";"-";"-";"-";"<E>";"-";"-";"équarrir";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"On équarrit les chevaux";"to quarter"
"330";"+";"+";"-";"-";"<E>";"-";"-";"esbroufer";"-";"+";"-";"-";"+";"-";"-";"+";"<E>";"<E>";"Léa a esbroufé Max";"to shoot a line"
"331";"~";"~";"~";"~";"<E>";"-";"-";"escarper";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Paulo escarpe les vieilles dames";"?"
"332";"-";"+";"-";"-";"<E>";"-";"-";"essouffler";"-";"+";"-";"-";"+";"+";"-";"-";"<E>";"<E>";"La course a essoufflé Max";"?"
"333";"+";"-";"-";"-";"<E>";"-";"-";"estoquer";"-";"+";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Pablo a estoqué Jo";"to give the finishing blow to"
"334";"+";"+";"-";"-";"<E>";"-";"-";"estourbir";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Bob a estourbi Max";"to stun"
"335";"+";"-";"-";"-";"<E>";"-";"-";"estrapader";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"On a estrapadé le bandit";"to give strappado"
"336";"+";"+";"-";"-";"<E>";"-";"-";"estropier";"-";"+";"-";"-";"-";"+";"+";"+";"<E>";"<E>";"L'accident a estropié Max";"to cripple"
"337";"~";"~";"~";"~";"<E>";"-";"-";"établir";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Les parents ont établi leur fille";"?"
"338";"~";"~";"~";"~";"<E>";"-";"-";"étaler";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a étalé son adversaire";"to knock out"
"339";"~";"~";"~";"~";"<E>";"-";"-";"étendre";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Le boxeur a étendu Max d'un direct";"to knock out"
"340";"+";"+";"-";"+";"<E>";"-";"-";"étouffer";"-";"+";"-";"-";"+";"-";"+";"+";"<E>";"<E>";"Max étouffe Léa avec un oreiller";"to suffocate"
"341";"-";"-";"-";"-";"ne";"-";"+";"étouffer";"+";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Le courage n' étouffe pas Max";"?"
"342";"+";"-";"-";"-";"<E>";"-";"-";"étourdir";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Le choc a étourdi Max";"to stun"
"343";"+";"-";"-";"-";"<E>";"-";"-";"étrangler";"-";"+";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"Pat a étranglé Bob";"to strangle"
"344";"~";"~";"~";"~";"<E>";"-";"-";"étriller";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Cet hôtelier a étrillé Max";"?"
"345";"~";"~";"~";"~";"<E>";"-";"-";"étriller";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a étrillé Luc aux échecs";"?"
"346";"+";"-";"-";"-";"<E>";"-";"-";"étriper";"-";"+";"-";"+";"+";"+";"-";"-";"<E>";"tripe";"Les Huns ont étripé les Goths";"to cut open"
"347";"+";"+";"-";"-";"<E>";"-";"-";"évangéliser";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Max évangélise les foules";"to evangelize"
"348";"+";"+";"-";"-";"<E>";"-";"-";"éveiller";"-";"+";"-";"-";"+";"+";"-";"+";"<E>";"<E>";"Un rayon de soleil a éveillé Luc";"to awaken"
"349";"~";"~";"~";"~";"<E>";"-";"-";"éventer";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Le chien a éventé le lièvre";"?"
"350";"~";"~";"~";"~";"<E>";"-";"-";"éventrer";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Le sanglier a éventré Médor";"?"
"351";"~";"~";"~";"~";"<E>";"-";"-";"éviter";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a évité Léa pendant toute la soirée";"to avoid"
"352";"+";"-";"-";"-";"<E>";"-";"-";"évoquer";"-";"+";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Max évoque (E+l'esprit de)sa mère";"to recall"
"353";"~";"~";"~";"~";"<E>";"-";"-";"examiner";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Le médecin a examiné Paul";"?"
"354";"~";"~";"~";"~";"<E>";"-";"-";"exciser";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"On a excisé Léa";"?"
"355";"+";"-";"-";"-";"<E>";"-";"-";"exécuter";"-";"+";"-";"-";"+";"+";"-";"+";"<E>";"<E>";"On a exécuté Ney";"to execute"
"356";"+";"-";"-";"-";"<E>";"-";"-";"exploiter";"-";"+";"-";"-";"+";"+";"+";"+";"<E>";"<E>";"Les patrons exploitent leurs ouvriers";"to exploit"
"357";"+";"-";"-";"-";"<E>";"-";"-";"exterminer";"-";"+";"-";"-";"+";"+";"-";"+";"<E>";"<E>";"Ce procédé extermine les poux";"to wipe out"
"358";"~";"~";"~";"~";"se";"+";"-";"faire";"-";"-";"+";"~";"~";"~";"~";"~";"<E>";"<E>";"Ida s'est fait Max dans le bois";"?"
"359";"~";"~";"~";"~";"se";"+";"-";"fader";"-";"-";"+";"~";"~";"~";"~";"~";"<E>";"<E>";"Paul s'est fadé Marie";"?"
"360";"~";"~";"~";"~";"se";"+";"-";"farcir";"-";"-";"+";"~";"~";"~";"~";"~";"<E>";"<E>";"Paulo s'est farci Max";"?"
"361";"~";"~";"~";"~";"<E>";"-";"-";"favoriser";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max favorise son aîné";"?"
"362";"+";"-";"-";"-";"<E>";"-";"-";"féconder";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Le cheval a fécondé la jument";"to inseminate"
"363";"+";"+";"-";"-";"<E>";"-";"-";"feinter";"-";"+";"-";"-";"+";"+";"-";"-";"<E>";"<E>";"Max a feinté Ida";"to take in"
"364";"+";"-";"-";"-";"<E>";"-";"-";"féliciter";"-";"+";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"Max félicite (les mariés+le vainqueur)";"to congratulate"
"365";"~";"~";"~";"~";"<E>";"-";"-";"ferrer";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a ferré une raie de 10 livres";"?"
"366";"+";"-";"-";"-";"<E>";"-";"-";"fêter";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Médor fête son maître";"to fête"
"367";"+";"-";"-";"-";"<E>";"-";"-";"ficeler";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Max a ficelé un joli(film+article)";"?"
"368";"~";"~";"~";"~";"<E>";"-";"-";"finir";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a fini Marie au gin";"?"
"369";"~";"~";"~";"~";"<E>";"-";"-";"fixer";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Le mariage a fixé Paul";"?"
"370";"+";"-";"-";"-";"<E>";"-";"-";"flagorner";"-";"+";"-";"-";"+";"-";"-";"+";"<E>";"<E>";"Max flagorne Luc";"to toady to"
"371";"~";"~";"~";"~";"<E>";"-";"-";"flamber";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Ceci a flambé Paulo aux yeux de sa bande";"?"
"372";"-";"-";"-";"-";"<E>";"-";"-";"flatter";"-";"+";"-";"-";"+";"-";"+";"+";"<E>";"<E>";"Ce portrait flatte Ida";"to flatter"
"373";"~";"~";"~";"~";"<E>";"-";"-";"flinguer";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a flingué Paulo";"to gun down"
"374";"+";"-";"+";"-";"<E>";"-";"-";"fliquer";"-";"+";"-";"-";"-";"-";"-";"-";"flic";"<E>";"La sûreté flique Luc";"to keep watch on"
"375";"~";"~";"~";"~";"<E>";"-";"-";"forfaitariser";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"On a forfaitarisé les contribuables";"to tax on an inclusive basis"
"376";"-";"-";"-";"-";"<E>";"-";"-";"foudroyer";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"L'éclair a foudroyé (la vache+le chêne)";"to strike"
"377";"~";"~";"~";"~";"<E>";"-";"-";"fouiller";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Les flics ont fouillé (E+les affaires de)Max";"?"
"378";"~";"~";"~";"~";"<E>";"-";"-";"fourrer";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Paulo a fourré toutes les vendeuses";"?"
"379";"~";"~";"~";"~";"<E>";"-";"-";"foutre";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Réa a foutu la bonne";"?"
"380";"~";"~";"~";"~";"<E>";"-";"-";"frapper";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Un infarctus a frappé Max";"?"
"381";"~";"~";"~";"~";"<E>";"-";"-";"fréquenter";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max fréquente des(voyous+gens biens)";"to see often"
"382";"+";"-";"-";"-";"<E>";"-";"-";"fréquenter";"-";"+";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Max fréquente Léa, la fille du notaire";"to go around with"
"383";"-";"+";"+";"-";"<E>";"-";"-";"frigorifier";"-";"-";"+";"-";"-";"+";"-";"-";"froid";"<E>";"Max est frigorifié ";"to freeze"
"384";"+";"-";"-";"-";"<E>";"-";"-";"fronder";"-";"+";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Max fronde (les puissants+l'autorité)";"to lampoon"
"385";"-";"-";"-";"-";"<E>";"-";"-";"fuir";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"L'inspiration fuit Max";"to elude"
"386";"+";"-";"-";"-";"<E>";"-";"-";"fusiller";"-";"+";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"On a fusillé Bob(E+pour trahison)";"to shoot"
"387";"~";"~";"~";"~";"<E>";"-";"-";"fustiger";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"On a fustigé le condamné";"?"
"388";"-";"-";"-";"-";"<E>";"-";"-";"gagner";"-";"+";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"Max a gagné Luc aux échecs";"to beat"
"389";"+";"-";"+";"-";"<E>";"-";"-";"garotter";"-";"+";"-";"-";"-";"-";"-";"-";"garot";"<E>";"On a garrotté Juan";"to tie up"
"390";"+";"-";"-";"-";"<E>";"-";"-";"gâter";"-";"+";"-";"-";"+";"+";"-";"-";"<E>";"<E>";"Max gâte (Léa+ses enfants)";"to spoil"
"391";"+";"-";"+";"-";"<E>";"-";"-";"gazer";"-";"+";"-";"-";"-";"+";"-";"-";"gaz";"<E>";"On a gazé les soldats(E+à l'hypérite)";"to gas"
"392";"~";"~";"~";"~";"<E>";"-";"-";"gégéner";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"On a gégéné le suspect";"?"
"393";"+";"-";"-";"-";"<E>";"-";"-";"geler";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Attendre dehors a gelé Max";"to freeze"
"394";"+";"-";"+";"-";"<E>";"-";"-";"gendarmer";"-";"+";"-";"-";"-";"+";"-";"-";"gendarme";"<E>";"Ce pays gendarme le monde";"to rule"
"395";"~";"~";"~";"~";"<E>";"-";"-";"givrer";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Cet alcool l'a complètement givré ";"?"
"396";"+";"-";"-";"-";"<E>";"-";"-";"gouverner";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Max gouverne le pays";"to govern"
"397";"~";"~";"~";"~";"<E>";"-";"-";"grabatiser";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Cette maladie a grabatisé le malade";"?"
"398";"~";"~";"~";"~";"<E>";"-";"-";"gratter";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a gratté ses concurrents";"?"
"399";"-";"-";"-";"-";"<E>";"-";"-";"gratter";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Son dos gratte Max";"to make one itch"
"400";"~";"~";"~";"~";"<E>";"-";"-";"grignoter";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a grignoté son concurrent dans le dernier tour";"?"
"401";"~";"~";"~";"~";"<E>";"-";"-";"griller";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Cette fausse manoeuvre a grillé (Max+l'espion)";"?"
"402";"+";"+";"-";"-";"<E>";"-";"-";"griller";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Max a grillé Luc sur le poteau";"to pipe one at the post"
"403";"~";"~";"~";"~";"<E>";"-";"-";"grimper";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Polo a grimpé sa bergère";"?"
"404";"-";"+";"-";"-";"<E>";"-";"-";"gripper";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Un coup de froid a grippé Max";"to make ill of flu"
"405";"+";"-";"-";"-";"<E>";"-";"-";"guillotiner";"-";"+";"-";"-";"-";"-";"+";"+";"<E>";"<E>";"On a guillotiné Max";"to guillotine"
"406";"+";"+";"-";"-";"<E>";"-";"-";"guinder";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Son vêtement guinde Max aux épaules";"to make one look stiff"
"407";"-";"-";"+";"-";"<E>";"-";"-";"habiller Advm";"-";"+";"-";"-";"-";"-";"-";"-";"habit";"<E>";"Cette robe habille bien Ida";"to suit"
"408";"-";"+";"-";"-";"<E>";"-";"-";"habiter";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Le démon habite Max";"to possess"
"409";"~";"~";"~";"~";"<E>";"-";"-";"handicaper";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max est handicapé d'un tremblement incoercible";"?"
"410";"+";"-";"-";"-";"<E>";"-";"-";"haranguer";"-";"+";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"Max harangue la foule";"?"
"411";"+";"-";"-";"-";"<E>";"-";"-";"héler";"-";"+";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"Max hèle un taxi";"to hail"
"412";"~";"~";"~";"~";"<E>";"-";"-";"hiberner";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"On hiberne les grands malades";"?"
"413";"+";"-";"-";"-";"<E>";"-";"-";"honorer";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max honore son épouse de temps en temps";"to make love to"
"414";"~";"~";"~";"~";"<E>";"-";"-";"houspiller";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Paul houspille Luc pour qu'il vienne";"?"
"415";"-";"+";"-";"-";"<E>";"-";"-";"hydrocuter";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"La froideur de l'eau a hydrocuté Max";"to give an immersion syncope"
"416";"+";"+";"-";"-";"<E>";"-";"-";"hypnotiser";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Max a hypnotisé Luc";"to hypnotize"
"417";"-";"+";"-";"-";"<E>";"-";"-";"illettrer";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"La télé a illettré des générations d'enfants";"to make illiterate"
"418";"+";"-";"-";"-";"<E>";"-";"-";"imiter";"-";"+";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"Max se leva et tout les autres l' imitèrent ";"to do likewise"
"419";"~";"~";"~";"~";"<E>";"-";"-";"incarner";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max incarne Napoléon dans le film";"to play"
"420";"+";"-";"-";"-";"<E>";"-";"-";"incendier";"-";"+";"-";"-";"+";"-";"-";"+";"<E>";"<E>";"Max a incendié Léa d'injures";"to give rocket"
"421";"~";"~";"~";"~";"<E>";"-";"-";"incinérer";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"On a incinéré Léa";"?"
"422";"~";"~";"~";"~";"<E>";"-";"-";"incommoder";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Ce plat a incommodé Paul";"?"
"423";"-";"+";"-";"-";"<E>";"-";"-";"indisposer";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"La fumée indispose Léa";"to indispose"
"424";"+";"-";"-";"-";"<E>";"-";"-";"inquiéter";"-";"+";"-";"-";"+";"+";"-";"+";"<E>";"<E>";"La police a inquiété Max sur cette affaire";"to bother"
"425";"+";"-";"-";"-";"<E>";"-";"-";"inspecter";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a inspecté les subordonnés";"to inspect"
"426";"+";"-";"-";"-";"<E>";"-";"-";"insulter";"-";"+";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"Léa insulte Max";"to insult"
"427";"+";"-";"-";"-";"<E>";"-";"-";"interpeller";"-";"+";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"La police a interpellé cent personnes hier soir";"to nab"
"428";"~";"~";"~";"~";"<E>";"-";"-";"interpeller";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a interpellé les filles";"?"
"429";"+";"-";"-";"-";"<E>";"-";"-";"interroger";"-";"+";"-";"-";"+";"-";"+";"-";"<E>";"<E>";"Max interroge un suspect";"to question"
"430";"+";"-";"-";"-";"<E>";"-";"-";"interviewer";"-";"+";"-";"-";"+";"+";"-";"-";"<E>";"<E>";"Max a interviewé Luc(E+sur la crise)";"to interview"
"431";"~";"~";"~";"~";"<E>";"-";"-";"intimider";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max tente d' intimider son adversaire";"?"
"432";"-";"+";"-";"-";"<E>";"-";"-";"intoxiquer";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Ce tabac a intoxiqué Max";"to poison"
"433";"~";"~";"~";"~";"<E>";"-";"-";"intoxiquer";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Ces champignons ont intoxiqué dix personnes";"to poison"
"434";"+";"-";"-";"-";"<E>";"-";"-";"introduire";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a introduit la comtesse derrière l'église";"to tumble"
"435";"-";"-";"-";"+";"<E>";"-";"-";"inviter";"-";"+";"-";"-";"+";"-";"+";"-";"<E>";"<E>";"Ce soir, je vous invite ";"to invite"
"436";"+";"-";"-";"-";"<E>";"-";"-";"invoquer";"-";"+";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Max invoque les muses";"to invoke"
"437";"~";"~";"~";"~";"<E>";"-";"-";"joindre";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max n'a pas joint Luc";"?"
"438";"+";"-";"-";"-";"<E>";"-";"-";"jouer";"-";"+";"-";"-";"+";"+";"-";"-";"<E>";"<E>";"Luc a joué Max dans cette affaire";"to dupe"
"439";"~";"~";"~";"~";"<E>";"-";"-";"juger";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Ce juge a jugé (Paul+le criminel)";"?"
"440";"+";"-";"-";"-";"<E>";"-";"-";"klaxonner";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a klaxonné le chauffard";"to hoot"
"441";"+";"-";"-";"-";"<E>";"-";"-";"knock-outer";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Ali a knock-outé Ben";"to knock out"
"442";"~";"~";"~";"~";"<E>";"-";"-";"lâcher";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a lâché ses copains";"?"
"443";"~";"~";"~";"~";"<E>";"-";"-";"lâcher Advt";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Le directeur a lâché Paul(très tard+à trois heures)";"?"
"444";"+";"-";"-";"-";"ne";"-";"+";"lâcher";"+";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max ne lâche pas sa mère";"?"
"445";"~";"~";"~";"~";"<E>";"-";"-";"laisser";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a laissé sa femme";"?"
"446";"~";"~";"~";"~";"<E>";"-";"-";"lancer";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"(Ce film+ce producteur)a lancé cet acteur";"?"
"447";"-";"-";"-";"-";"<E>";"-";"-";"lancer";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Sa blessure lance Max";"to ache"
"448";"~";"~";"~";"~";"<E>";"-";"-";"lanterner";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Le directeur m'a lanterné 3 mois";"?"
"449";"~";"~";"~";"~";"<E>";"-";"-";"lapider";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"On lapide les femmes adultères";"to stone to death"
"450";"+";"-";"-";"-";"<E>";"-";"-";"larguer";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Ida a largué son Jules";"to throw over"
"451";"+";"-";"-";"-";"<E>";"-";"-";"lécher";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max lèche le prof";"to suck up to"
"452";"+";"-";"-";"-";"<E>";"-";"-";"légitimer";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Max a légitimé (sa petite fille+l'enfant)";"to legitimate"
"453";"~";"~";"~";"~";"<E>";"-";"-";"lessiver";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Paulo a lessivé Riton";"?"
"454";"+";"-";"-";"-";"<E>";"-";"-";"lever";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Ida a levé un miché";"to pull"
"455";"~";"~";"~";"~";"<E>";"-";"-";"lever";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a levé le bébé";"to get up"
"456";"~";"~";"~";"~";"<E>";"-";"-";"libérer";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"On a libéré le soldat";"to release"
"457";"~";"~";"~";"~";"<E>";"-";"-";"limer";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Paulo a limé Ginette toute la nuit";"?"
"458";"+";"+";"-";"-";"<E>";"-";"-";"liquider";"-";"+";"-";"-";"+";"+";"+";"+";"<E>";"<E>";"Pol a liquidé le témoin";"to liquidate"
"459";"+";"-";"-";"-";"<E>";"-";"-";"lotir Advm";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Le partage a bien loti Max";"?"
"460";"+";"-";"+";"-";"<E>";"-";"-";"lutiner";"-";"+";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Max lutine la serveuse";"?"
"461";"+";"-";"-";"-";"<E>";"-";"-";"lyncher";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"On a lynché Bob";"to lynch"
"462";"~";"~";"~";"~";"<E>";"-";"-";"maîtriser";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a maîtrisé le(cheval+prisonnier)";"?"
"463";"~";"~";"~";"~";"<E>";"-";"-";"malmener";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max malmène (son adversaire+Ida)";"?"
"464";"~";"~";"~";"~";"<E>";"-";"-";"maltraiter";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max maltraite (ses domestiques+Ida)";"?"
"465";"~";"~";"~";"~";"<E>";"-";"-";"manager";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max manage cet équipe de foot";"?"
"466";"~";"~";"~";"~";"ne";"-";"+";"manger";"+";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max ne mangera pas Luc";"?"
"467";"+";"-";"-";"-";"<E>";"-";"-";"manier";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max manie (la foule+ses collaborateurs)";"to handle"
"468";"+";"-";"-";"-";"<E>";"-";"-";"manipuler";"-";"+";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"Max manipule les agitateurs";"to manipulate"
"469";"~";"~";"~";"~";"<E>";"-";"-";"manoeuvrer";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max manoeuvre (les agitateurs+la foule)";"?"
"470";"+";"-";"-";"-";"ne";"-";"+";"manquer";"+";"+";"-";"-";"+";"-";"-";"+";"<E>";"<E>";"Max n'a pas manqué Ida";"?"
"471";"~";"~";"~";"~";"<E>";"-";"-";"maquer";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Paulo maque Ida";"?"
"472";"+";"-";"+";"-";"<E>";"-";"-";"maquereauter";"-";"+";"-";"-";"-";"+";"-";"-";"maquereau";"<E>";"Paulo maquereaute Ida";"to be the ponce of"
"473";"~";"~";"~";"~";"<E>";"-";"-";"maquereller";"-";"+";"-";"~";"~";"~";"~";"~";"maquerelle";"<E>";"Ida maquerelle une dizaine de filles";"to be the madam of"
"474";"~";"~";"~";"~";"<E>";"-";"-";"marier";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Le Max a marié la Ginette";"to marry"
