"<ID>";"N0 =: N-hum";"N0 être V-n";"N2 bénéficiaire";"N2 détrimentaire";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"N1 =: Nhum";"N0 V N0pc W";"N1 =: N-hum";"N1 être V-n";"N1 =: Dnum Nmonnaie";"N1 =: coup";"Prép2 =: à";"N0 V N1 de N2 source";"Ppv =: en";"N2 =: N-hum";"Prép N2-hum = Ppv =: lui";"Ppv =: y";"N2 être V-n";"N2 =: Npl obl";"N1 être Vpp (statique)";"N1 =: Nabs";"N0 V N1 à N2 Dnum Nmonnaie";"N0 V N2 (E+de N1)";"N0 V N1 Loc N-hum";"N0 V N1 à N2 pour Dnum Nmonnaie";"N0 être V-n (forme V-n)";"N1 être V-n (forme V-n)";"N2 être V-n (forme V-n)";"<OPT>";"<ENGLISH>"
"206";"-";"-";"-";"+";"<E>";"ratiboiser";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"<E>";"<E>";"<E>";"Max a ratiboisé Ida de mille francs";"to clean one out"
"207";"-";"-";"-";"+";"<E>";"rationner";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"<E>";"ration";"<E>";"Max rationne le lait à Luc";"to give short rations of"
"208";"~";"~";"~";"~";"<E>";"ratisser";"+";"-";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"On a ratissé son fric à Max";"?"
"209";"-";"-";"-";"+";"<E>";"ravir";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a ravi Ida à sa famille";"to ravish"
"210";"-";"-";"+";"-";"<E>";"recéder";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"<E>";"Max a recédé à Bob son vieux char";"?"
"211";"+";"-";"-";"+";"<E>";"recevoir";"+";"-";"+";"-";"+";"-";"+";"+";"-";"+";;"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"<E>";"<E>";"<E>";"Max a reçu un livre de Léa";"to receive"
"212";"~";"~";"~";"~";"<E>";"recommander";"+";"-";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max recommande ce livre à Max";"?"
"213";"~";"~";"~";"~";"<E>";"reconnaître";"+";"-";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Je reconnais à Paul de grandes qualités";"?"
"214";"-";"-";"-";"+";"<E>";"redemander";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a redemandé son livre à Luc";"to ask for"
"215";"-";"-";"+";"-";"<E>";"redevoir";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max redoit du fric à Luc(E+sur sa voiture)";"to still owe"
"216";"-";"-";"+";"-";"<E>";"redistribuer";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"On redistribue les bénéfices(aux+entre les)actionnaires";"to redistribute"
"217";"+";"-";"+";"-";"<E>";"redonner";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Ce succès redonne de l'espoir à Max";"to restore"
"218";"+";"-";"+";"-";"<E>";"refiler";"+";"-";"+";"-";"+";"-";"+";"+";"+";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"+";"-";"<E>";"<E>";"<E>";"Ida a refilé (du blé à Bob+sa grippe)";"to palm off"
"219";"-";"-";"-";"+";"<E>";"regagner";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a regagné 100 F. à Luc";"to win back"
"220";"-";"-";"+";"-";"<E>";"régler";"+";"-";"+";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"<E>";"règlement";"<E>";"Max a réglé l'addition au serveur";"to settle"
"221";"-";"-";"+";"-";"<E>";"rembourser";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"<E>";"Max a remboursé sa dette à Luc";"to pay back"
"222";"+";"-";"+";"-";"<E>";"remettre";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a remis de l'argent à Luc";"to hand over"
"223";"-";"-";"-";"+";"<E>";"remettre";"+";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"remise";"<E>";"On a remis sa peine à Luc";"to remit"
"224";"+";"-";"+";"-";"<E>";"rendre";"+";"-";"+";"-";"+";"-";"+";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a rendu le stylo à Guy";"to give back"
"225";"-";"-";"-";"+";"<E>";"rendre bien";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Paul rend bien à Léa son inimitié";"?"
"226";"~";"~";"~";"~";"<E>";"repasser";"+";"-";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max a repassé son(article+crayon+rhume)à Paul";"?"
"227";"~";"~";"~";"~";"<E>";"repasser";"+";"-";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Paulo a repassé une grosse somme à Bob";"?"
"228";"~";"~";"~";"~";"<E>";"reprendre";"+";"-";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max a repris le livre à Paul";"to take back"
"229";"-";"-";"-";"+";"<E>";"reprendre";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"<E>";"<E>";"<E>";"Max a repris sa voiture à Luc 10.000 francs";"to buy"
"230";"~";"~";"~";"~";"<E>";"réserver";"+";"-";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Ceci réserve une surprise à Max";"?"
"231";"-";"-";"-";"+";"<E>";"réserver";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a réservé une chambre à l'hôtelier";"to book"
"232";"-";"-";"-";"+";"<E>";"resquiller";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"<E>";"On a resquillé 100 F à Luc";"to swipe"
"233";"+";"-";"+";"-";"<E>";"restituer";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"<E>";"<E>";"<E>";"On a restitué sa voiture à Luc";"to return"
"234";"-";"-";"-";"+";"<E>";"retenir";"+";"-";"-";"-";"+";"+";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"<E>";"retenue";"<E>";"Max a retenu une(chambre+place)pour Luc à l'hôtelier";"to book"
"235";"+";"-";"-";"+";"<E>";"retirer";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"<E>";"<E>";"<E>";"On a retiré son(emploi+couteau)à Luc";"to take off"
"236";"~";"~";"~";"~";"<E>";"retourner";"+";"-";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max a retourné une claque à Paul";"?"
"237";"-";"-";"+";"-";"<E>";"rétrocéder";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"<E>";"<E>";"<E>";"Max a rétrocédé ce droit à Luc";"to retrocede"
"238";"~";"~";"~";"~";"<E>";"revaloir";"+";"-";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max a revalu à Jean le service rendu";"?"
"239";"-";"-";"+";"-";"<E>";"revendre";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"<E>";"<E>";"<E>";"Max a revendu à Luc la télé gagnée au jeu";"to sell"
"240";"-";"-";"+";"-";"<E>";"reverser";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max reverse la taxe à l'état";"to put back"
"241";"-";"-";"+";"-";"<E>";"revirer";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a reviré la taxe à l'état";"to put back"
"242";"-";"-";"+";"-";"<E>";"ristourner";"+";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"<E>";"ristourne";"<E>";"Max a ristourné cette somme à Luc";"to refund"
"243";"~";"~";"~";"~";"<E>";"sacrifier";"+";"-";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Pélops a sacrifié un boeuf à cette divinité";"to sacrifice"
"244";"-";"-";"-";"+";"<E>";"saisir";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"L'huissier a saisi les meubles à Max";"to seize"
"245";"~";"~";"~";"~";"<E>";"sauver";"+";"-";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Le chirurgien a sauvé sa jambe à Luc";"to save"
"246";"-";"-";"+";"-";"<E>";"servir";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"<E>";"<E>";"<E>";"Max a servi de la choucroute à Luc";"to serve"
"247";"-";"-";"+";"-";"<E>";"solder";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"<E>";"solde";"<E>";"Max a soldé ce pull à Ida(E+pour 100 F.)";"to knock down"
"248";"-";"-";"-";"+";"<E>";"souffler";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a soufflé (la place+sa fiancé)à Luc";"to pinch"
"249";"-";"-";"-";"+";"<E>";"soulever";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Ida a soulevé son mari à Zoé";"to pinch"
"250";"-";"-";"+";"-";"<E>";"soumettre";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Sa cruauté a soumis la population au tyran";"to subject"
"251";"-";"-";"+";"-";"<E>";"soumissionner";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"<E>";"soumission";"<E>";"Cet entrepreneur a soumissionné ce projet à l' Etat";"to bid for"
"252";"-";"-";"+";"-";"<E>";"sous-louer";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"<E>";"sous-location";"<E>";"Les gens de passage sous-louent ce studio à Luc";"to sublet"
"253";"-";"-";"-";"+";"<E>";"sous-louer";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"<E>";"sous-location";"<E>";"Luc sous-loue son studio aux gens de passage";"to sublet"
"254";"-";"-";"+";"-";"<E>";"sous-traiter";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max sous-traite ce travail à Zoé";"to subcontract"
"255";"-";"-";"+";"-";"<E>";"subordonner";"+";"-";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"subordonné";"<E>";"On a subordonné un aide à Max";"to subordinate"
"256";"-";"-";"-";"+";"<E>";"subtiliser";"+";"-";"+";"-";"+";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"Max a subtilisé son pain à Luc";"to spirit away"
"257";"~";"~";"~";"~";"<E>";"surbooker";"+";"-";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"La compagnie a surbooké des places aux clients";"to overbook"
"258";"~";"~";"~";"~";"<E>";"susciter";"+";"-";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Que Léa boive suscite des craintes à Max";"?"
"259";"-";"-";"-";"+";"<E>";"suspendre";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"On a suspendu son traitement à Luc";"to suspend"
"260";"~";"~";"~";"~";"<E>";"tailler";"+";"-";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Son succès a taillé une place de choix à(Max+ce produit)";"?"
"261";"-";"-";"-";"+";"<E>";"taper";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"<E>";"<E>";"<E>";"Max a tapé une cigarette à Luc";"to cadge off"
"262";"-";"-";"+";"-";"<E>";"tarifer";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"<E>";"<E>";"<E>";"Max a tarifé ce vase à Léa cent francs";"to rate for"
"263";"~";"~";"~";"~";"<E>";"tendre";"+";"-";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max tend le pain à Léa";"?"
"264";"+";"-";"-";"+";"<E>";"tenir";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";;"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max tient cette montre de son père";"to have from"
"265";"~";"~";"~";"~";"<E>";"tirer";"+";"-";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max a tiré son briquet à Luc";"to pinch"
"266";"-";"-";"+";"-";"<E>";"tolérer";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max tolère quelques retards à Luc";"to allow"
"267";"-";"-";"-";"+";"<E>";"torpiller";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"<E>";"<E>";"<E>";"Flo a torpillé mille francs à Max";"to cadge off"
"268";"+";"-";"-";"+";"<E>";"toucher";"+";"-";"-";"-";"+";"-";"+";"-";"-";"+";;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a touché (sa paye+mille francs de Luc)";"to get"
"269";"+";"-";"+";"-";"<E>";"transmettre";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"<E>";"<E>";"<E>";"Max a transmis ses biens à Luc";"to pass on"
"270";"-";"+";"-";"+";"<E>";"truander";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"truand";"<E>";"<E>";"Max a truandé cent francs à Léa";"to do"
"271";"-";"-";"+";"-";"<E>";"vendre";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"<E>";"<E>";"<E>";"Max a vendu sa voiture à Luc";"to sell"
"272";"~";"~";"~";"~";"<E>";"vendre";"+";"-";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max a vendu ses complices aux flics";"to hand over"
"273";"~";"~";"~";"~";"<E>";"verser";"+";"-";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max verse (de l'argent à Luc+une pension à sa femme)";"?"
"274";"-";"-";"-";"+";"<E>";"voler";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"<E>";"<E>";"<E>";"Max a volé sa voiture à Luc";"to steal"
"275";"+";"-";"+";"-";"<E>";"vouer";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max voue du respect à Léa";"to devote"

