"<ID>";"N0 lieu source de N1";"N0 lieu de destination de N1";"N1 V W";"N2 V N1";"<ENT>Ppv";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"N0 dé-V N1 Prép N2 source";"N0 dé-V N1 Loc N3 nv-dest";"N0 V N0pc W";"N0 V N1 sur N1pc";"N1 être V-n";"N1 =: coup";"N1 =: trou";"N0 V N2 (E+de N1)";"Loc N2 =: dans N2";"Loc N2 =: sur N2";"Loc N2 =: contre N2";"Loc N2 =: à N2";"Loc N2 =: autour de N2";"Loc N2 =: vers N2";"Ppv =: y";"N2 être V-n";"de combien ?";"Loc N2 =: sur lui1-même";"N1 être Vpp (statique)";"N1 =: Qu P métaphore";"à Nhum destination";"à Nhum =: Loc Npc";"N1 =: mot, N2 =: texte";"N1 =: idée, N2 =: esprit";"N0 V N1abs Loc N2abs";"N0 V N1hum Loc N2abs";"N1 être V-n (forme V-n)";"N2 être V-n (forme V-n)";"<OPT>"
"184";"~";"~";"~";"~";"<E>";"-";"plonger";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Les racines plongent dans le sol"
"185";"-";"-";"+";"-";"<E>";"-";"pocher";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a poché ses oeufs dans une casserole"
"186";"-";"-";"-";"+";"<E>";"-";"poêler";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"poêle";"Max a poêlé le steak(E+dans une poêle)"
"187";"-";"-";"-";"-";"<E>";"-";"pointer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"<E>";"<E>";"Max pointe le canon vers le château"
"188";"~";"~";"~";"~";"<E>";"-";"pointer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max pointe le village sur la carte"
"189";"-";"-";"-";"-";"<E>";"-";"positionner";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"<E>";"position";"Max a positionné le navire au Nord des Hébrides"
"190";"~";"~";"~";"~";"<E>";"-";"pourchasser";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max pourchasse les fautes d'orthographes dans le journal"
"191";"~";"~";"~";"~";"<E>";"-";"pousser";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a poussé ses(études jusqu'au certificat+recherches)"
"192";"~";"~";"~";"~";"<E>";"-";"prendre";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a pris son manteau dans la porte"
"193";"-";"-";"-";"-";"<E>";"-";"préparer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"<E>";"<E>";"Max a préparé les instruments sur la table"
"194";"-";"-";"-";"-";"<E>";"-";"présenter";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"présentoir";"Max présente le foie sur un lit de salade"
"195";"-";"-";"-";"+";"<E>";"-";"presser";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"presse";"Max presse des tôles dans une presse"
"196";"~";"~";"~";"~";"<E>";"-";"presser";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max presse le doigt sur le bouton"
"197";"+";"-";"-";"-";"<E>";"-";"projeter";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"<E>";"<E>";"Anna a projeté le tétraèdre sur un plan"
"198";"~";"~";"~";"~";"<E>";"-";"promener";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max promène son crayon sur la feuille"
"199";"~";"~";"~";"~";"<E>";"-";"promener";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max promène son ennui dans Paris"
"200";"-";"-";"-";"-";"<E>";"-";"prospecter";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"<E>";"<E>";"Cette compagnie prospecte le pétrole en mer"
"201";"-";"-";"-";"-";"<E>";"-";"rabattre";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"rabat";"<E>";"Max a rabattu la couverture sur ses pieds"
"202";"-";"-";"+";"+";"<E>";"-";"raboter";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a raboté le pneu contre le trottoir"
"203";"-";"-";"+";"+";"<E>";"-";"racler";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a raclé ses pneus contre le trottoir"
"204";"-";"-";"-";"+";"<E>";"-";"radiodiffuser";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"<E>";"radio";"On radiodiffuse ce match sur CKVM"
"205";"~";"~";"~";"~";"<E>";"-";"radioguider";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a radioguidé l'avion vers la cible"
"206";"-";"-";"-";"-";"<E>";"-";"ramener";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max ramène ses cheveux sur le front"
"207";"~";"~";"~";"~";"<E>";"-";"ratatiner";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a ratatiné sa tire contre un platane"
"208";"~";"~";"~";"~";"<E>";"-";"rattraper";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Les flics ont rattrapé le voleur"
"209";"-";"-";"+";"-";"<E>";"-";"rebrousser";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a rebroussé les cheveux de Léa sur les oreilles"
"210";"~";"~";"~";"~";"<E>";"-";"recadrer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"On a recadré la production du plan sur de nouveaux objectifs"
"211";"-";"+";"-";"+";"<E>";"-";"receler";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"-";"<E>";"<E>";"Max recèle du butin dans sa cave"
"212";"~";"~";"~";"~";"<E>";"-";"recentrer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"On a recentré la production sur de nouveaux objectifs"
"213";"-";"-";"-";"-";"<E>";"-";"rechercher";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"Luc recherche une table de 5m dans tous les magasins"
"214";"~";"~";"~";"~";"<E>";"-";"recoquiller";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Paul se recoquille dans son coin"
"215";"-";"-";"-";"-";"<E>";"-";"recroqueviller";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"La chaleur recroqueville les feuilles"
"216";"-";"-";"-";"+";"<E>";"-";"rediffuser";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"On a rediffusé le match en direct à la télé"
"217";"-";"-";"-";"-";"<E>";"-";"redresser";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a redressé l'armoire contre le mur"
"218";"-";"-";"-";"-";"<E>";"-";"refermer";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"+";"-";"<E>";"<E>";"Max referme la pince sur le fil"
"219";"-";"-";"-";"+";"<E>";"-";"réfléchir";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"<E>";"<E>";"Max réfléchit la lumière du soleil dans sa glace"
"220";"-";"-";"-";"+";"<E>";"-";"refléter";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max reflète l'image de Léa dans une glace"
"221";"-";"-";"-";"+";"<E>";"-";"réfracter";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max réfracte le rayon lumineux dans un prisme"
"222";"~";"~";"~";"~";"<E>";"-";"rejoindre";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Ce tuyau rejoint le collecteur derrière le frigo"
"223";"-";"-";"+";"-";"<E>";"-";"remuer";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"<E>";"<E>";"Max remue la cuiller dans la confiture"
"224";"~";"~";"~";"~";"<E>";"-";"rencontrer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"On rencontre ce type d'insectes au Gabon"
"225";"~";"~";"~";"~";"<E>";"-";"renfermer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Paul renferme ses bijoux dans le tiroir"
"226";"-";"-";"-";"-";"<E>";"-";"renfoncer";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Max renfonce son chapeau sur sa tête"
"227";"~";"~";"~";"~";"<E>";"-";"renserrer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max renserre Luc dans des limites étroites"
"228";"~";"~";"~";"~";"<E>";"-";"répartir";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max réparti la pommade sur le bras"
"229";"-";"-";"-";"+";"<E>";"-";"répercuter";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"<E>";"<E>";"Le son se répercute sur les parois"
"230";"-";"-";"-";"-";"<E>";"-";"repérer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"<E>";"<E>";"Max a repéré Luc dans la foule"
"231";"-";"-";"-";"-";"<E>";"-";"replier";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Max replie la nappe sur elle-même"
"232";"~";"~";"~";"~";"<E>";"-";"reprendre";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a repris sa lecture à la page dix"
"233";"~";"~";"~";"~";"<E>";"-";"représenter";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Ce ministre représente le gouvernement(auprès de+à)"
"234";"~";"~";"~";"~";"<E>";"-";"rétamer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a rétamé sa voiture contre un mur"
"235";"-";"-";"-";"-";"<E>";"-";"retenir";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Le clou retient le tableau contre le mur"
"236";"-";"-";"-";"-";"<E>";"-";"retourner";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Paul a retourné le steak sur la plaque"
"237";"-";"-";"-";"-";"<E>";"-";"retraiter";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"On retraite les déchets(E+nucléaires)dans cette usine"
"238";"-";"-";"+";"-";"<E>";"-";"retrousser";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max retrousse sa manche jusqu'au coude"
"239";"-";"-";"-";"-";"<E>";"-";"retrouver";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"<E>";"<E>";"Max a retrouvé son copain au bar"
"240";"~";"~";"~";"~";"<E>";"-";"retrouver";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a retrouvé son vélo au commissariat"
"241";"~";"~";"~";"~";"<E>";"-";"retrouver";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"On retrouve les qualités de Luc chez son fils"
"242";"-";"-";"-";"+";"<E>";"-";"réverbérer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"La plaque réverbère la chaleur vers la pièce"
"243";"-";"-";"+";"-";"<E>";"-";"rissoler";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max rissole les patates dans l'huile dans une cocotte"
"244";"-";"-";"+";"-";"<E>";"-";"rôtir";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"rôti";"rôtissoire";"Max rôtit le coq sur la braise"
"245";"-";"-";"-";"-";"<E>";"-";"rouler";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a roulé la bouteille dans un journal"
"246";"-";"-";"+";"-";"<E>";"-";"roussir";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Ida roussit la farine dans le beurre"
"247";"-";"-";"+";"-";"<E>";"-";"saisir";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Ida saisi le steak sur le grill"
"248";"-";"-";"+";"-";"<E>";"-";"saler";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"saloir";"Max sale les jambons dans la saumure"
"249";"-";"-";"+";"-";"<E>";"-";"sasser";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"sas";"On a sassé les péniches dans l'écluse"
"250";"-";"+";"-";"-";"<E>";"-";"saucer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"sauce";"Max sauce son pain dans sauce"
"251";"-";"-";"+";"+";"<E>";"-";"saumurer";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"saumure";"On saumure les harengs"
"252";"-";"-";"+";"-";"<E>";"-";"sauter";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a sauté les patates dans le beurre"
"253";"-";"-";"-";"-";"<E>";"-";"sceller";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"+";"+";"+";"-";"<E>";"<E>";"Max a scellé le piton dans le mur"
"254";"-";"+";"+";"-";"<E>";"-";"serrer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"La voiture a serré le cycliste contre le trottoir"
"255";"~";"~";"~";"~";"<E>";"-";"serrer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max serre le crayon dans un étau"
"256";"~";"~";"~";"~";"<E>";"-";"signifier";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Work' signifie 'travail'(en anglais+dans cette langue)"
"257";"-";"-";"-";"+";"<E>";"-";"situer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"<E>";"site";"Max situe Gap sur l'Adour"
"258";"-";"-";"-";"-";"<E>";"-";"souffler";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"L'explosion souffle le toit dans la rue"
"259";"-";"+";"-";"+";"<E>";"-";"stocker";"-";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"+";"+";"+";"-";"stock";"sock";"Max stock les denrées dans sa cave"
"260";"~";"~";"~";"~";"<E>";"-";"stopper";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a stoppé son bus au coin"
"261";"~";"~";"~";"~";"<E>";"-";"suivre";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Ce nom suit celui là dans la liste"
"262";"-";"-";"+";"-";"<E>";"-";"surgeler";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a surgelé le poisson dans le freezer"
"263";"~";"~";"~";"~";"<E>";"-";"talocher";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"On a taloché le ciment sur le mur"
"264";"~";"~";"~";"~";"<E>";"-";"tamponner";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max tamponne de la teinture sur le meuble"
"265";"-";"-";"-";"-";"<E>";"-";"tartiner";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"tartine";"Max tartine du beurre sur son pain"
"266";"-";"-";"-";"-";"<E>";"-";"tasser";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"+";"<E>";"<E>";"Max a tassé la terre dans le pot"
"267";"-";"-";"-";"+";"<E>";"-";"télédiffuser";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"<E>";"télévision";"On télédiffuse ce match sur la troisième chaîne"
"268";"-";"-";"-";"-";"<E>";"-";"téléguider";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"On a téléguidé le missile(sur+vers)l'objectif"
"269";"-";"-";"-";"-";"<E>";"-";"tendre";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"Max tend la perche vers l'eau"
"270";"-";"-";"+";"-";"<E>";"-";"tenir";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max tient le cadre contre le mur"
"271";"~";"~";"~";"~";"<E>";"-";"thermoformer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max thermoforme le plastique dans un moule"
"272";"~";"~";"~";"~";"<E>";"-";"thésauriser";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max thésaurise de l'or dans sa cave"
"273";"~";"~";"~";"~";"<E>";"-";"tortiller";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a tortillé le fil sur la manche"
"274";"~";"~";"~";"~";"<E>";"-";"touiller";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Flo touille la salade"
"275";"-";"-";"-";"-";"<E>";"-";"tourner";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max tourne la(cuillère+crème+salade)dans le pot"
"276";"-";"-";"-";"-";"<E>";"-";"tourner";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Max tourne son arme sur une cible"
