"<ID>";"N0 =: Nhum";"N0 =: N-hum";"<ENT>Ppv";"Ppv =: se figé";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"thèmeN1";"N0 V";"N1 =: Nhum";"N1 =: N-hum";"N1 =: le fait Qu P";"N1 être V-n";"V-n instrument";"N1 être Vpp W";"N1 être V-n (forme V-n)";"V-n instrument (forme V-n)";"<OPT>"
"324";"~";"~";"<E>";"-";"-";"écouter";"-";"+";"-";"opéra";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max écoute un opéra"
"325";"~";"~";"<E>";"-";"-";"écrabouiller";"-";"+";"-";"adversaire";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max écraboulle son adversaire"
"326";"~";"~";"<E>";"-";"-";"écraser";"-";"+";"-";"accélérateur";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a écrasé l'accélérateur"
"327";"~";"~";"<E>";"-";"-";"éculer";"-";"+";"-";"talon";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"La marche a éculé les talons de chaussures"
"328";"~";"~";"<E>";"-";"-";"éditer";"-";"+";"-";"recueil";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a éditer ce recueil"
"329";"~";"~";"<E>";"-";"-";"éditer";"-";"+";"-";"texte";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Mme de Romilly a édité le texte de Thucydide"
"330";"+";"-";"<E>";"-";"-";"effacer";"-";"+";"-";"adversaire";"-";"-";"+";"-";"-";"-";"-";"<E>";"?";"L'avant a effacé deux adversaires"
"331";"~";"~";"<E>";"-";"-";"effacer";"-";"+";"-";"ventre";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max efface son ventre"
"332";"~";"~";"<E>";"-";"-";"effiler";"-";"+";"-";"tissu";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"L'usure effile les bords des tissus"
"333";"~";"~";"<E>";"-";"-";"effiler";"-";"+";"-";"lame";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a effilé la lame de son couteau"
"334";"~";"~";"<E>";"-";"-";"effleurer";"-";"+";"-";"question";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a effleuré la question"
"335";"~";"~";"<E>";"-";"-";"égaler";"-";"+";"-";"record";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a égalé ce record"
"336";"~";"~";"<E>";"-";"-";"éloigner";"-";"+";"-";"paiement";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"On éloigne le paiement"
"337";"~";"~";"<E>";"-";"-";"élucider";"-";"+";"-";"problème";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a élucidé le problème"
"338";"~";"~";"<E>";"-";"-";"emballer";"-";"+";"-";"prix";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"L'inflation a emballé les prix"
"339";"~";"~";"<E>";"-";"-";"embarrasser";"-";"+";"-";"estomac";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"La choucroute embarrasse l'estomac"
"340";"+";"-";"<E>";"-";"-";"embrasser";"-";"+";"-";"cause";"-";"-";"-";"-";"-";"-";"-";"<E>";"?";"Max a embrassé cette cause"
"341";"+";"-";"<E>";"-";"-";"émettre";"-";"+";"-";"monnaie";"-";"-";"-";"-";"+";"-";"-";"émission";"?";"L'état a émis une nouvelle monnaie"
"342";"~";"~";"<E>";"-";"-";"émettre";"-";"+";"-";"emprunt";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"L'état a émis un gros emprunt"
"343";"~";"~";"<E>";"-";"-";"émettre";"-";"+";"-";"chèque";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a émis un vhèque sans provision"
"344";"~";"~";"<E>";"-";"-";"employer Advm";"-";"+";"-";"mot";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"On emploie couramment ce mot"
"345";"~";"~";"<E>";"-";"-";"emporter";"-";"+";"-";"adhésion";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Ce projet emporte l'adhésion de Max"
"346";"~";"~";"<E>";"-";"-";"émuler";"-";"+";"-";"ordinateur";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Ce PC émule le Maccintosh"
"347";"~";"~";"<E>";"-";"-";"encaisser";"-";"+";"-";"refus";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a encaissé un refus"
"348";"~";"~";"<E>";"-";"-";"encalminer";"-";"+";"-";"bateau";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Le manque de vent encalmine le bateau"
"349";"~";"~";"<E>";"-";"-";"endiabler";"-";"+";"-";"rythme";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"L'orchestre a endiablé le rythme"
"350";"-";"+";"<E>";"-";"-";"endormir";"-";"+";"-";"douleur";"+";"-";"-";"-";"-";"+";"-";"<E>";"?";"Ce médicament a endormi la douleur"
"351";"~";"~";"<E>";"-";"-";"enflammer";"-";"+";"-";"allumette";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a enflammer l'allumette"
"352";"~";"~";"<E>";"-";"-";"enfler";"-";"+";"-";"événement";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"La presse enfle l'événement"
"353";"+";"-";"<E>";"-";"-";"enfoncer";"-";"+";"-";"rival";"+";"-";"+";"+";"-";"-";"-";"<E>";"?";"Max a enfoncé son rival"
"354";"+";"-";"<E>";"-";"-";"enfreindre";"-";"+";"-";"règle";"-";"-";"-";"-";"-";"-";"-";"<E>";"?";"Max a enfreint la règle"
"355";"~";"~";"<E>";"-";"-";"engager";"-";"+";"-";"partie";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Les bleus engagent (E+la partie) "
"356";"~";"~";"<E>";"-";"-";"engraisser";"-";"+";"-";"oies";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"On engraisse les oies"
"357";"+";"-";"<E>";"-";"-";"enlever";"-";"+";"-";"aria";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"Les musiciens ont enlevé cet aria"
"358";"+";"-";"<E>";"-";"-";"enlever";"-";"+";"-";"place-forte";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"César a enlevé la place-forte"
"359";"~";"~";"<E>";"-";"-";"enlever";"-";"+";"-";"ministère";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a enlevé un ministère"
"360";"~";"~";"<E>";"-";"-";"enlever";"-";"+";"-";"compétition";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a enlevé la compétition"
"361";"~";"~";"<E>";"-";"-";"enlever";"-";"+";"-";"contrat";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a enlevé le contrat"
"362";"~";"~";"<E>";"-";"-";"enlever";"-";"+";"-";"poids";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"L'altérophile a enlevé un poids de 100 kilos"
"363";"~";"~";"<E>";"-";"-";"enraidir";"-";"+";"-";"muscle";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"L'effort a enraidi ses muscles"
"364";"~";"~";"<E>";"-";"-";"enregistrer";"-";"+";"-";"bagage";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a enregistré ses bagages"
"365";"~";"~";"<E>";"-";"-";"entendre";"-";"+";"-";"prière";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Dieu a entendu la prière de Paul"
"366";"~";"~";"<E>";"-";"-";"entendre";"-";"+";"-";"témoignage";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Le juge a entendu le témoignage de Paul"
"367";"~";"~";"<E>";"-";"-";"entendre";"-";"+";"-";"concert";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a entendu le concert"
"368";"~";"~";"<E>";"-";"-";"entendre";"-";"+";"-";"nouvelle";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a entendu la nouvelle à la radio"
"369";"~";"~";"<E>";"-";"-";"entendre";"-";"+";"-";"clairon";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max entend le clairon"
"370";"~";"~";"<E>";"-";"-";"entendre";"-";"+";"-";"tournure";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max entend encore cette tournure à paris"
"371";"~";"~";"<E>";"-";"-";"entériner";"-";"+";"-";"mot";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Le dictionnaire entérine les mots nouveaux"
"372";"~";"~";"<E>";"-";"-";"épargner";"-";"+";"-";"argent";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max épargne de l'argent"
"373";"~";"~";"<E>";"-";"-";"épater";"-";"+";"-";"nez";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Un coup funeste lui avait épaté le nez"
"374";"~";"~";"<E>";"-";"-";"éplucher";"-";"+";"-";"texte";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a épluché un texte"
"375";"+";"-";"<E>";"-";"-";"éponger";"-";"+";"-";"déficit";"+";"-";"-";"+";"-";"+";"-";"<E>";"?";"Ce prêt éponge le déficit"
"376";"+";"-";"<E>";"-";"-";"éreinter";"-";"+";"-";"oeuvre";"-";"-";"-";"-";"-";"+";"-";"<E>";"?";"La critique a éreinté l'oeuvre de Max"
"377";"~";"~";"<E>";"-";"-";"escamoter";"-";"+";"-";"mot";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max escamote les mots"
"378";"+";"-";"<E>";"-";"-";"escompter";"-";"+";"-";"traite";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"Max a escompté des traites(E+commerçants)"
"379";"+";"-";"<E>";"-";"-";"esquinter";"-";"+";"-";"oeuvre";"-";"-";"-";"-";"-";"+";"-";"<E>";"?";"La critique a esquinté l'oeuvre"
"380";"+";"-";"<E>";"-";"-";"esquisser";"-";"+";"-";"geste";"-";"-";"+";"+";"+";"-";"-";"esquisse";"?";"Max a esquissé un geste"
"381";"~";"~";"<E>";"-";"-";"esquiver";"-";"+";"-";"coup";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Mas a esquivé le coup"
"382";"+";"+";"<E>";"-";"-";"essuyer";"-";"+";"-";"échec";"-";"-";"-";"-";"-";"-";"-";"<E>";"?";"Max a essuyé un échec"
"383";"~";"~";"<E>";"-";"-";"essuyer";"-";"+";"-";"grain";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Le bateau a essuyé un grain"
"384";"-";"+";"<E>";"-";"-";"estomper";"-";"+";"-";"contour";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"Le peintre estompe les contours"
"385";"~";"~";"<E>";"-";"-";"estropier";"-";"+";"-";"mot";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max estropie les mots qui ont plus de huit lettres"
"386";"~";"~";"<E>";"-";"-";"établir";"-";"+";"-";"texte";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Le philologue a établi ce texte de tacite"
"387";"~";"~";"<E>";"-";"-";"étaler";"-";"+";"-";"jeu";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Le joueur étale son jeu"
"388";"~";"~";"<E>";"-";"-";"étalonner";"-";"+";"-";"thermomètre";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a étalonné le thermomètre"
"389";"~";"~";"<E>";"-";"-";"éteindre";"-";"+";"-";"local";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a éteint le local"
"390";"~";"~";"<E>";"-";"-";"éteindre";"-";"+";"-";"radio";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max éteint la radio"
"391";"+";"-";"<E>";"-";"-";"étendre";"-";"+";"-";"linge";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"Max a étendu le linge(E+sur un fil)"
"392";"~";"~";"<E>";"-";"-";"étioler";"-";"+";"-";"plante";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"L'obscurité étiole les plantes"
"393";"+";"+";"<E>";"-";"-";"étouffer";"-";"+";"-";"bruit";"+";"-";"-";"+";"-";"-";"-";"<E>";"?";"Un mauvais réglage étouffe le bruit du moteur"
"394";"~";"~";"<E>";"-";"-";"étourdir";"-";"+";"-";"douleur";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Les médicaments étourdissent la douleur"
"395";"~";"~";"<E>";"-";"-";"étriquer";"-";"+";"-";"vêtement";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Le lavage a étriqué le vêtement"
"396";"~";"~";"<E>";"-";"-";"étudier";"-";"+";"-";"leçon";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a étudié sa leçon"
"397";"~";"~";"<E>";"-";"-";"étudier";"-";"+";"-";"anglais";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max étudie l'anglais"
"398";"~";"~";"<E>";"-";"-";"étudier";"-";"+";"-";"sujet";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max étudie un sujet"
"399";"+";"-";"<E>";"-";"-";"évacuer";"-";"+";"-";"problème";"+";"-";"-";"+";"-";"-";"-";"<E>";"?";"Max évacue le problème"
"400";"~";"~";"<E>";"-";"-";"exécuter";"-";"+";"-";"oeuvre";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Les critiques ont exécuté cette oeuvre"
"401";"~";"~";"<E>";"-";"-";"exécuter";"-";"+";"-";"concerto";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max exécute le concerto en do"
"402";"~";"~";"<E>";"-";"-";"exercer";"-";"+";"-";"profession";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max exerce la profession de boulanger"
"403";"~";"~";"<E>";"-";"-";"exorbiter";"-";"+";"-";"yeux";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"L'étonnement a exorbité ses yeux"
"404";"~";"~";"<E>";"-";"-";"expanser";"-";"+";"-";"matière";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";" Expanser la matière"
"405";"+";"-";"<E>";"-";"-";"expliquer";"-";"+";"-";"texte";"-";"-";"-";"-";"-";"-";"-";"<E>";"?";"Max a expliqué ce texte"
"406";"~";"~";"<E>";"-";"-";"exploiter";"-";"+";"-";"brevet";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max exploite un brevet"
"407";"-";"-";"<E>";"-";"-";"faire";"-";"+";"-";"carburant";"-";"-";"-";"-";"-";"-";"-";"<E>";"?";"Max fait (du carburant+de l'eau+du fuel)"
"408";"-";"-";"<E>";"-";"-";"faire";"-";"+";"-";"sport";"-";"-";"-";"-";"-";"-";"-";"<E>";"?";"Max fait (du sport+du tennis+de la nage)"
"409";"-";"-";"se";"+";"-";"faire";"-";"-";"+";"relations";"-";"+";"-";"-";"-";"-";"-";"<E>";"?";"Max s'est fait (des relations+amis+ennemis)"
"410";"~";"~";"<E>";"-";"-";"falsifier";"-";"+";"-";"vin";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Paul a falsifié ses vins"
"411";"~";"~";"<E>";"-";"-";"falsifier";"-";"+";"-";"monnaie";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Paulo a falsifié de la monnaie"
"412";"~";"~";"<E>";"-";"-";"faner";"-";"+";"-";"couleur";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Le soleil fane les fleurs"
"413";"+";"-";"<E>";"-";"-";"fermer";"-";"+";"-";"établissement";"-";"+";"-";"+";"-";"-";"-";"<E>";"?";"On a fermé l'établissement"
"414";"~";"~";"<E>";"-";"-";"fermer";"-";"+";"-";"jeu";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Les joueurs ferment le jeu"
"415";"~";"~";"<E>";"-";"-";"fermer";"-";"+";"-";"magasin";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max ferme le magasin à huit heures"
"416";"~";"~";"<E>";"-";"-";"fêter";"-";"+";"-";"Noël";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max fête Noël"
"417";"~";"~";"<E>";"-";"-";"feutrer";"-";"+";"-";"bruit";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"La neige feutre le bruit"
"418";"+";"-";"<E>";"-";"-";"filer";"-";"+";"-";"bas";"-";"+";"-";"+";"-";"-";"-";"<E>";"?";"Marie a filé son bas"
"419";"~";"~";"<E>";"-";"-";"filer";"-";"+";"-";"toile";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"L'araignée file sa toile"
"420";"~";"~";"<E>";"-";"-";"filer";"-";"+";"-";"scène";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a filé la scène de rupture"
"421";"~";"~";"<E>";"-";"-";"filtrer";"-";"+";"-";"lumière";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"On filtre la lumière à travers les persiennes"
"422";"~";"~";"<E>";"-";"-";"finir";"-";"+";"-";"carrière";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a fini sa carrière dans la police"
"423";"+";"-";"<E>";"-";"-";"fiscaliser";"-";"+";"-";"revenus";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"On a fiscalisé ces revenus"
"424";"-";"+";"<E>";"-";"-";"flatter";"-";"+";"-";"sens";"+";"-";"-";"-";"-";"+";"-";"<E>";"?";"Ce spectacle flatte les sens"
"425";"~";"~";"<E>";"-";"-";"fléchir";"-";"+";"-";"adjectif";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Blandine a fléchi les adjectifs"
"426";"~";"~";"<E>";"-";"-";"foirer";"-";"+";"-";"vis";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a foiré la vis"
"427";"~";"~";"<E>";"-";"-";"fonder";"-";"+";"-";"oeuvre";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a fondé cette oeuvre"
"428";"~";"~";"<E>";"-";"-";"forcer";"-";"+";"-";"allure";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max force son allure"
"429";"~";"~";"<E>";"-";"-";"forcer";"-";"+";"-";"clé";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"On a forcé cette clef"
"430";"~";"~";"<E>";"-";"-";"forcer";"-";"+";"-";"vis";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"On a forcé cette vis"
"431";"~";"~";"<E>";"-";"-";"forfaitiser";"-";"+";"-";"prix";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"On a forfaitisé les contribuables"
"432";"~";"~";"<E>";"-";"-";"forger";"-";"+";"-";"mot";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"On a forgé un mot nouveau"
"433";"~";"~";"<E>";"-";"-";"forger";"-";"+";"-";"alibi";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max s'est forgé un alibi"
"434";"~";"~";"<E>";"-";"-";"formuler";"-";"+";"-";"loi";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a formulé cette loi"
"435";"+";"-";"<E>";"-";"-";"fouetter";"-";"+";"-";"crème";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"Max fouette la crème"
"436";"~";"~";"<E>";"-";"-";"fouiller";"-";"+";"-";"site";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Bob a fouillé le site"
"437";"~";"~";"<E>";"-";"-";"fourgonner";"-";"+";"-";"feu";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max fourgonne le feu"
"438";"~";"~";"<E>";"-";"-";"fraiser";"-";"+";"-";"pâte";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Le boulanger fraise la pâte"
"439";"~";"~";"<E>";"-";"-";"franchir";"-";"+";"-";"distance";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a franchi la distance en deux heures"
"440";"~";"~";"<E>";"-";"-";"franchir";"-";"+";"-";"obstacle";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a franchi l'obstacle"
"441";"~";"~";"<E>";"-";"-";"franchiser";"-";"+";"-";"commerçant";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Tandy a franchisé ce commerçant"
"442";"~";"~";"<E>";"-";"-";"frapper";"-";"+";"-";"champagne";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"On  frappe généralment le champagne"
"443";"~";"~";"<E>";"-";"-";"fréquenter";"-";"+";"-";"itinéraire";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max fréquente cet itinéraire"
"444";"+";"-";"<E>";"-";"-";"froisser";"-";"+";"-";"tôle";"+";"+";"-";"+";"-";"-";"-";"<E>";"?";"Max a froissé son aile droite"
"445";"~";"~";"<E>";"-";"-";"froisser";"-";"+";"-";"muscle";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max s'est froissé un muscle"
"446";"~";"~";"<E>";"-";"-";"froncer";"-";"+";"-";"sourcil";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a froncé les sourcils"
"447";"~";"~";"<E>";"-";"-";"fusiller";"-";"+";"-";"client";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Le restaurateur a fusillé le client"
"448";"~";"~";"<E>";"-";"-";"gager";"-";"+";"-";"bien";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a gagé ses biens"
"449";"~";"~";"<E>";"-";"-";"gagner";"-";"+";"-";"argent";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Paul gagne (du fric+le gros lot)"
"450";"~";"~";"<E>";"-";"-";"galvauder";"-";"+";"-";"idée";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max galvaude (son talent+son prestige+ses idées) "
"451";"+";"-";"<E>";"-";"-";"gambiller";"-";"+";"-";"danse";"-";"-";"-";"-";"+";"-";"-";"?";"?";"Ida gambille la java avec Léa"
"452";"~";"~";"<E>";"-";"-";"gardienner";"-";"+";"-";"immeuble";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max gardienne l'immeuble"
"453";"~";"~";"<E>";"-";"-";"gauchir";"-";"+";"-";"opinion";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a gauchi ses opinions politiques"
"454";"-";"+";"<E>";"-";"-";"geler";"-";"+";"-";"plante";"+";"+";"-";"+";"-";"-";"-";"<E>";"?";"Le froid a gelé les plantes"
"455";"~";"~";"<E>";"-";"-";"glisser";"-";"+";"-";"maille";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Ida a glissé une maille"
"456";"~";"~";"<E>";"-";"-";"glorifier";"-";"+";"-";"dieu";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Les fidèles glorifient les dieux"
"457";"~";"~";"<E>";"-";"-";"gödeliser";"-";"+";"-";"système";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"On a gödelisé ce système formel"
"458";"~";"~";"<E>";"-";"-";"gonfler";"-";"+";"-";"visage";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"L'alcool avait gonflé son visage"
"459";"~";"~";"<E>";"-";"-";"grammaticaliser";"-";"+";"-";"mot";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"On grammaticalise ce mot"
"460";"~";"~";"<E>";"-";"-";"griller";"-";"+";"-";"plante";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Le soleil a grillé les plantes"
"461";"~";"~";"<E>";"-";"-";"grossoyer";"-";"+";"-";"acte";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Le notaire a grossoyé l'acte"
"462";"~";"~";"<E>";"-";"-";"gruger";"-";"+";"-";"huître";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a grugé l'huître"
"463";"~";"~";"<E>";"-";"-";"guérir";"-";"+";"-";"maladie";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Ce médicament guérit la maladie"
"464";"~";"~";"<E>";"-";"-";"hivériser";"-";"+";"-";"appareil";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"On a hivérisé cet appareil"
"465";"~";"~";"<E>";"-";"-";"honorer";"-";"+";"-";"profession";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max honore sa profession"
"466";"~";"~";"<E>";"-";"-";"hypostasier";"-";"+";"-";"mot";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Le philosophe a hypostasié le mot"
"467";"~";"~";"<E>";"-";"-";"identifier";"-";"+";"-";"corps";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a identifié le corps"
"468";"+";"-";"<E>";"-";"-";"ignorer";"-";"+";"-";"orthographe";"-";"-";"-";"-";"-";"-";"-";"<E>";"?";"Max ignore l'orthographe"
"469";"+";"-";"<E>";"-";"-";"ignorer";"-";"+";"-";"sen(sation+timent)";"-";"-";"-";"-";"-";"-";"-";"<E>";"?";"Max ignore la pitié"
"470";"~";"~";"<E>";"-";"-";"incrémenter";"-";"+";"-";"variable";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max incrémente cette variable de deux"
"471";"~";"~";"<E>";"-";"-";"individualiser";"-";"+";"-";"mesure";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"La loi individualise les mesures"
"472";"~";"~";"<E>";"-";"-";"infirmer";"-";"+";"-";"jugement";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Le tribunal a infirmé le jugement"
"473";"~";"~";"<E>";"-";"-";"initialiser";"-";"+";"-";"disquette";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"On a initialisé la disquette"
"474";"+";"-";"<E>";"-";"-";"instruire";"-";"+";"-";"affaire";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"Max a instruit cette affaire"
"475";"~";"~";"<E>";"-";"-";"instrumenter";"-";"+";"-";"musique";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"On a instrumenté cette symphonie"
"476";"+";"-";"<E>";"-";"-";"intégrer";"-";"+";"-";"équation";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"Max a intégré cette fonction"
"477";"~";"~";"<E>";"-";"-";"intégrer";"-";"+";"-";"école";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a intégré une grande école"
"478";"+";"-";"<E>";"-";"-";"intéresser";"-";"+";"-";"partie";"-";"-";"-";"-";"-";"-";"-";"<E>";"?";"On a intéressé la partie"
"479";"+";"-";"<E>";"-";"-";"interpeller";"-";"+";"-";"ministre";"-";"-";"-";"-";"-";"-";"-";"<E>";"?";"On a interpellé le ministre dans cette affaire"
"480";"~";"~";"<E>";"-";"-";"interpréter";"-";"+";"-";"loi";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Le juriste interprète la loi"
"481";"~";"~";"<E>";"-";"-";"interpréter";"-";"+";"-";"rôle";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Léa interprète ce rôle"
"482";"+";"-";"<E>";"-";"-";"interroger";"-";"+";"-";"astres";"-";"-";"-";"-";"-";"-";"-";"<E>";"?";"Le devin interroge les astres"
"483";"+";"-";"<E>";"-";"-";"interroger";"-";"+";"-";"fichier";"-";"-";"-";"-";"-";"-";"-";"<E>";"?";"Max interroge un fichier"
"484";"~";"~";"<E>";"-";"-";"interrompre";"-";"+";"-";"courant";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Ce dispositif interrompt le courant"
"485";"~";"~";"<E>";"-";"-";"invoquer";"-";"+";"-";"pardon";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Luc invoque mon pardon"
"486";"~";"~";"<E>";"-";"-";"isoler";"-";"+";"-";"gène";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Les chercheurs ont isolé un nouveau gène"
"487";"+";"-";"<E>";"-";"-";"itérer";"-";"+";"-";"opération";"-";"+";"-";"+";"-";"-";"-";"<E>";"?";"Max itère l'opération"
