"<ID>";"N1 V W";"N2 V N1";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"dé-V";"N1 =: Nhum";"N1 =: N-hum";"N1 =: Npc obl";"N0 V N1";"Prép2 =: avec";"Prép2 =: dans";"Prép2 =: en";"N2 =: Nhum";"N2 =: N-hum";"N2 =: trou";"N2 =: couche";"N2 =: coup";"N2 apparition";"N2 =: Npl obl";"N2 être V-n, Sfx = E";"N2 être V-n, Sfx # E";"Sfx =: age";"Sfx =: ment";"Sfx =: tion";"Sfx =: ure";"V-n instrument";"N1 =: texte, N2 =: mot";"N1 =: esprit, N2 =: idée";"N0 V N1hum de N2abs";"N0 V N2 (E+Loc N1 destination)";"N0 mettre V-n Loc N1";"N0 faire V-n Prép N1";"N0 donner V-n à N1";"N0 donner à N1 (une apparence Vpp+l'apparence de V-n)";"N0 lancer V-n Loc N1";"V-n instrument (forme V-n)";"<OPT>"
"187";"-";"+";"<E>";"moqueter";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"On a moqueté le salon d'une moquette de laine"
"188";"-";"+";"<E>";"motoriser";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"Max a motorisé sa barque"
"189";"-";"+";"<E>";"moucheter";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Max a moucheté son fleuret d'une mouche d'ambre"
"190";"-";"+";"<E>";"mouler";"+";"-";"+";"~";"+";"-";"+";"+";"+";"-";"~";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"Max a moulé la main d'Ida(de+dans du)plâtre"
"191";"-";"-";"<E>";"moulurer";"+";"-";"+";"~";"+";"-";"+";"-";"-";"-";"~";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"Max a mouluré son plafond de motifs de stuc"
"192";"-";"+";"<E>";"murer";"+";"-";"+";"~";"+";"-";"+";"-";"+";"+";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"Max a muré le parc d'un mur de briques"
"193";"-";"+";"<E>";"museler";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"Max a muselé Azor"
"194";"-";"+";"<E>";"napper";"+";"-";"+";"~";"+";"-";"-";"-";"-";"+";"~";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"Max a nappé le gâteau de crème"
"195";"-";"+";"<E>";"nipper";"+";"-";"+";"+";"-";"-";"+";"+";"+";"+";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Léa nippe Max de hardes in"
"196";"-";"+";"<E>";"noter";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"Le prof a noté cette copie d'une mauvaise note"
"197";"-";"-";"<E>";"oindre";"+";"-";"-";"~";"+";"+";"+";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Max oignit Luc de musc"
"198";"-";"+";"<E>";"orner";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"Max a orné la façade de drapeaux"
"199";"-";"+";"<E>";"ouater";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Max a ouaté le manteau d'une couche de coton"
"200";"-";"+";"<E>";"ouatiner";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Max a ouatiné son manteau"
"201";"-";"+";"<E>";"pailleter";"+";"-";"+";"~";"+";"-";"+";"+";"-";"+";"~";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Ida a pailleté son slip de strass"
"202";"-";"+";"<E>";"palissader";"+";"-";"+";"~";"+";"-";"+";"+";"-";"+";"~";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Léa a palissadé son clos de pin"
"203";"+";"+";"<E>";"palmer";"+";"-";"+";"~";"+";"+";"+";"-";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"L'évolution a palmé les pattes de certains oiseaux"
"204";"-";"+";"<E>";"panacher";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"Max a panaché son bouquet de fleurs multicolores"
"205";"-";"+";"<E>";"panser";"+";"-";"+";"~";"+";"+";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"Max a pansé la blessure d'une gaze"
"206";"-";"+";"<E>";"parer";"+";"-";"-";"~";"+";"-";"-";"+";"+";"-";"~";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"Max pare Ida d'une parure de bijoux"
"207";"-";"+";"<E>";"parqueter";"+";"-";"+";"~";"+";"-";"+";"-";"-";"+";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Max a parqueté le salon de pin"
"208";"-";"+";"<E>";"passementer";"+";"-";"+";"~";"+";"-";"+";"-";"-";"-";"~";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"Max a passementé la veste de fils d'or"
"209";"-";"+";"<E>";"passepoiler";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"On a passepoilé les boutonnières d'un passepoil rouge"
"210";"-";"+";"<E>";"paver";"+";"-";"+";"~";"+";"-";"+";"+";"-";"+";"~";"+";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"On a pavé la rue de granit"
"211";"-";"+";"<E>";"pavoiser";"+";"-";"+";"~";"+";"-";"+";"+";"-";"+";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"On a pavoisé la rue de calicots multicolores"
"212";"-";"+";"<E>";"pelliculer";"+";"-";"+";"~";"+";"-";"-";"+";"+";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"Paul a pelliculé la couverture de plastique"
"213";"-";"+";"<E>";"perler";"+";"-";"+";"~";"+";"-";"+";"+";"-";"+";"~";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Max a perlé la robe"
"214";"-";"+";"<E>";"perruquer";"+";"-";"+";"+";"-";"+";"~";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Alfredo a perruqué Ida d'une perruque rousse"
"215";"-";"+";"<E>";"piéger";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"Max a piégé son(champ+pavillon)de pièges à feu"
"216";"-";"+";"<E>";"piquer";"+";"-";"-";"~";"+";"-";"-";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"On a piqué le sorbet d'un petit drapeau"
"217";"-";"+";"<E>";"pitonner";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"Max pitonne la paroi de pitons"
"218";"-";"+";"<E>";"placarder";"+";"-";"+";"~";"+";"-";"-";"+";"-";"+";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"Max a placardé le mur(d'affiches+de placards)"
"219";"-";"-";"<E>";"plaquer";"+";"-";"+";"~";"+";"-";"-";"+";"-";"+";"~";"+";"-";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"Max a plaqué l'armoire d'acajou"
"220";"-";"+";"<E>";"plâtrer";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"Le docteur a plâtré la jambe de Max d'un plâtre de marche"
"221";"-";"+";"<E>";"pomponner";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"Ida se pomponne de cosmétiques "
"222";"-";"-";"<E>";"ponter";"+";"-";"+";"~";"+";"-";"+";"+";"-";"+";"~";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"Le chirurgien a ponté les coronaires du malade d'un tuyau plastique"
"223";"-";"+";"<E>";"ponter";"+";"-";"+";"~";"+";"-";"+";"-";"-";"-";"~";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"Max a ponté sa barque de teck"
"224";"-";"-";"<E>";"présurer";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Le laitier présure le lait de présure"
"225";"-";"+";"<E>";"radariser";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"On a radarisé (cette route+ce supermarché)"
"226";"-";"+";"<E>";"ralinguer";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"On ralingue les voiles d'un cordage fort"
"227";"+";"+";"<E>";"rallonger";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"+";"-";"-";"-";"-";"-";"Max a rallongé la table d'une planche"
"228";"-";"+";"<E>";"rapiécer";"+";"-";"-";"~";"+";"-";"+";"-";"-";"+";"~";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"Max a rapiécé le coussin de velours bleu"
"229";"-";"+";"<E>";"ravauder";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"Ida ravaude le froc de fil bleu"
"230";"-";"-";"<E>";"rayonner";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"Max a rayonné le mur de planches de pin"
"231";"-";"+";"<E>";"reboucher";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"Max a rebouché la fissure de plâtre"
"232";"-";"+";"<E>";"rechaper";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Max a rechapé le pneu d'une couche de gomme"
"233";"-";"+";"<E>";"recouvrir";"+";"-";"+";"~";"+";"-";"+";"+";"+";"+";"~";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Max a recouvert son canapé(de+en)lin"
"234";"-";"+";"<E>";"référencer";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Max a référencé ces items d'un astérisque"
"235";"-";"+";"<E>";"relier";"+";"-";"+";"~";"+";"-";"+";"+";"+";"+";"~";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"Max a relié sa bible(en+de)cuir fauve"
"236";"-";"+";"<E>";"remblayer";"+";"-";"+";"~";"+";"-";"+";"+";"-";"+";"~";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"Max a remblayé la tranchée de terre"
"237";"-";"+";"<E>";"rembourrer";"+";"-";"+";"~";"+";"-";"+";"+";"-";"+";"~";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"Max a rembourré son canapé de nylon"
"238";"+";"+";"<E>";"remotoriser";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"On a remotorisé le bateau d'un diesel"
"239";"-";"+";"<E>";"rempiéter";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"Le maçon rempiète le mur(d'un pied de+E)de ciment"
"240";"-";"+";"<E>";"rentoiler";"+";"-";"+";"~";"+";"-";"+";"+";"-";"+";"~";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Max a rentoilé ce tableau d'une toile neuve"
"241";"-";"-";"<E>";"repriser";"+";"-";"-";"~";"+";"-";"+";"+";"-";"+";"~";"+";"-";"-";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"Max a reprisé (Les bas+l'accroc)de fil gris"
"242";"-";"+";"<E>";"ressemeler";"+";"-";"+";"~";"+";"-";"+";"+";"+";"+";"~";"+";"-";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"Max a ressemelé ses bottes de caoutchouc"
"243";"-";"+";"<E>";"retrancher";"+";"-";"-";"~";"+";"-";"+";"+";"+";"-";"~";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"Max a retranché le camp de chevaux de frise"
"244";"-";"+";"<E>";"revêtir";"+";"-";"+";"~";"+";"-";"-";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"Max a revêtu le sol de lino"
"245";"-";"+";"<E>";"revêtir";"+";"-";"+";"~";"+";"-";"-";"+";"+";"-";"~";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"Max a revêtu Ida de sa veste"
"246";"-";"+";"<E>";"robotiser";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"La direction va robotiser la chaîne de peinture"
"247";"-";"+";"<E>";"rubanner";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Max rubanne la robe de rubans de soie"
"248";"+";"+";"<E>";"saloper";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"~";"~";"~";"~";"-";"+";"-";"-";"-";"-";"Max a salopé son froc de grosses taches d'huile"
"249";"-";"+";"<E>";"sangler";"+";"-";"+";"~";"+";"-";"+";"+";"+";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"Luc a sanglé le cheval d'une sangle solide"
"250";"-";"+";"<E>";"saper";"+";"-";"+";"+";"-";"-";"+";"+";"+";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"Ida sape ses enfants de sapes chères"
"251";"-";"+";"<E>";"sceller";"+";"-";"+";"~";"+";"-";"-";"+";"-";"-";"~";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"Max a scellé la lettre d'un cachet de cire"
"252";"-";"-";"<E>";"sceller";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Max a mis les scellés sur la porte"
"253";"+";"-";"<E>";"scolariser";"+";"-";"+";"~";"+";"-";"-";"-";"-";"-";"~";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"+";"-";"-";"-";"-";"-";"Ce plan a scolarisé le pays d'établissements primaires"
"254";"-";"+";"<E>";"seller";"+";"-";"+";"+";"-";"-";"+";"+";"-";"+";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"Max a sellé son cheval d'une selle mexicaine"
"255";"-";"-";"<E>";"sonder";"+";"-";"-";"+";"-";"+";"~";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"L'infirmière a sondé Max d'une sonde en plastique"
"256";"-";"-";"<E>";"sonoriser";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Max a sonorisé l'église d'un système puissant"
"257";"-";"+";"<E>";"souiller";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"Max a souillé son tablier de boue"
"258";"-";"+";"<E>";"soutenir";"+";"-";"-";"~";"+";"-";"-";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"Max a soutenu le meuble d'une console"
"259";"+";"+";"<E>";"supporter";"+";"-";"-";"~";"+";"-";"-";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"+";"+";"-";"-";"-";"-";"Il faut supporter cette voûte par des piliers"
"260";"-";"+";"<E>";"surcharger";"+";"-";"+";"~";"+";"-";"+";"+";"-";"+";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"Max a surchargé le camion de réfrigérateurs"
"261";"-";"-";"<E>";"suréquiper";"+";"-";"-";"~";"+";"-";"+";"+";"-";"+";"~";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"Max a suréquipé la région d'installations sidérurgiques"
"262";"-";"+";"<E>";"surpiquer";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"Ida a surpiqué la couture de fil rouge"
"263";"-";"+";"<E>";"surplomber";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"Max a surplombé la porte d'un linteau"
"264";"-";"+";"<E>";"tacher";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"Max a taché la nappe de vin"
"265";"-";"+";"<E>";"tacheter";"+";"-";"-";"~";"+";"-";"+";"-";"-";"+";"~";"+";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"Max a tacheté la toile(de petites taches rouges+d'une tache rouge)"
"266";"-";"+";"<E>";"taguer";"+";"-";"+";"~";"+";"-";"+";"+";"-";"+";"~";"+";"-";"-";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"Max a tagué le mur de tags colorés"
"267";"-";"+";"<E>";"tapisser";"+";"-";"+";"~";"+";"-";"+";"-";"-";"+";"~";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"Max a tapissé le mur de lin"
"268";"-";"+";"<E>";"teindre";"+";"-";"+";"~";"+";"-";"+";"+";"+";"+";"~";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"Max a teint les cheveux d'Ida"
"269";"-";"+";"<E>";"tendre";"+";"-";"+";"~";"+";"-";"-";"+";"+";"+";"~";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"Max a tendu le mur de lin"
"270";"-";"-";"<E>";"tisser";"+";"-";"+";"~";"+";"-";"-";"-";"-";"-";"~";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"Flo tisse la nappe de motifs"
"271";"-";"+";"<E>";"toiler";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Max a toilé le mur de lin"
"272";"-";"+";"<E>";"travestir";"+";"-";"+";"+";"-";"-";"+";"+";"+";"-";"~";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"Max a travesti Ida d'une robe de bure"
"273";"-";"+";"<E>";"treillager";"+";"-";"+";"~";"+";"-";"+";"+";"-";"+";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Max a treillagé la fenêtre"
"274";"-";"+";"<E>";"treillisser";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Max a treillissé la fenêtre"
"275";"-";"-";"<E>";"tuber";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"On a tubé le puit d'un tube rigide"
"276";"-";"+";"<E>";"tuteurer";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Max a tuteuré le rosier d'un bâton"
"277";"-";"-";"<E>";"vanner";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"On a vanné l'écluse de vannes de bronze"
"278";"-";"-";"<E>";"vaporiser";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"Max vaporise ses cheveux(E+d'un nuage)de laque"
"279";"-";"+";"<E>";"vêtir";"+";"-";"+";"+";"-";"-";"+";"-";"+";"-";"~";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"Ida vêt Bob de cuir"
"280";"-";"+";"<E>";"viroler";"+";"-";"+";"~";"+";"-";"+";"+";"-";"+";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"Max a virolé le manche de la pelle"
"281";"-";"+";"<E>";"voiler";"+";"-";"+";"~";"+";"-";"+";"+";"-";"+";"~";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"Le soleil a voilé la pellicule"
